ArticleID,Dimension0,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6,Dimension7,Dimension8,Dimension9,Dimension10,Dimension11,Dimension12,Dimension13,Dimension14,Dimension15,Dimension16,Dimension17,Dimension18,Dimension19,Dimension20,Dimension21,Dimension22,Dimension23,Dimension24,Dimension25,Dimension26,Dimension27,Dimension28,Dimension29,Dimension30,Dimension31,Dimension32,Dimension33,Dimension34,Dimension35,Dimension36,Dimension37,Dimension38,Dimension39,Dimension40,Dimension41,Dimension42,Dimension43,Dimension44,Dimension45,Dimension46,Dimension47,Dimension48,Dimension49,Dimension50,Dimension51,Dimension52,Dimension53,Dimension54,Dimension55,Dimension56,Dimension57,Dimension58,Dimension59,Dimension60,Dimension61,Dimension62,Dimension63,Dimension64,Dimension65,Dimension66,Dimension67,Dimension68,Dimension69,Dimension70,Dimension71,Dimension72,Dimension73,Dimension74,Dimension75,Dimension76,Dimension77,Dimension78,Dimension79,Dimension80,Dimension81,Dimension82,Dimension83,Dimension84,Dimension85,Dimension86,Dimension87,Dimension88,Dimension89,Dimension90,Dimension91,Dimension92,Dimension93,Dimension94,Dimension95,Dimension96,Dimension97,Dimension98,Dimension99,Dimension100,Dimension101,Dimension102,Dimension103,Dimension104,Dimension105,Dimension106,Dimension107,Dimension108,Dimension109,Dimension110,Dimension111,Dimension112,Dimension113,Dimension114,Dimension115,Dimension116,Dimension117,Dimension118,Dimension119,Dimension120,Dimension121,Dimension122,Dimension123,Dimension124,Dimension125,Dimension126,Dimension127,Dimension128,Dimension129,Dimension130,Dimension131,Dimension132,Dimension133,Dimension134,Dimension135,Dimension136,Dimension137,Dimension138,Dimension139,Dimension140,Dimension141,Dimension142,Dimension143,Dimension144,Dimension145,Dimension146,Dimension147,Dimension148,Dimension149,Dimension150,Dimension151,Dimension152,Dimension153,Dimension154,Dimension155,Dimension156,Dimension157,Dimension158,Dimension159,Dimension160,Dimension161,Dimension162,Dimension163,Dimension164,Dimension165,Dimension166,Dimension167,Dimension168,Dimension169,Dimension170,Dimension171,Dimension172,Dimension173,Dimension174,Dimension175,Dimension176,Dimension177,Dimension178,Dimension179,Dimension180,Dimension181,Dimension182,Dimension183,Dimension184,Dimension185,Dimension186,Dimension187,Dimension188,Dimension189,Dimension190,Dimension191,Dimension192,Dimension193,Dimension194,Dimension195,Dimension196,Dimension197,Dimension198,Dimension199,
Article0,0.329996,-0.0460182,0.154075,-0.194034,0.184403,-0.000165884,0.0459766,-0.280807,-0.123385,0.144382,0.394271,-0.654509,0.483411,0.0654202,0.0592772,-0.219676,-0.319097,-0.255439,-0.41105,-0.266066,-0.315507,0.271474,0.249976,-0.0223347,-0.561709,0.177198,-0.152045,0.196851,0.0117089,-0.496862,-0.129727,-0.388996,0.15713,-0.365385,0.0507723,0.800011,0.252798,-0.0252793,0.523613,-0.652487,-0.112658,0.234044,-0.870144,0.250879,0.111939,-0.285575,0.451793,0.0526939,0.165201,-0.138642,-0.0185888,0.135352,-0.745606,0.0521265,0.310206,-0.263259,0.0925072,-0.764755,-0.428212,0.181634,-0.126452,0.00535493,-0.607407,-0.291175,0.348388,-0.480933,-0.456348,0.571792,-0.11719,-0.301522,-0.191862,0.419053,0.0188921,-0.0299603,-0.113766,0.225897,0.312651,-0.112791,-0.172557,0.714966,0.140583,0.119022,-0.304302,-0.292623,-0.0420057,0.157121,-0.258324,0.37337,-0.264279,-0.257817,-0.214881,0.134337,0.249528,0.0756291,-0.177399,0.0798047,-0.0445043,0.0883204,0.0992033,0.350598,-0.0280154,-0.0778828,-0.30734,0.159395,0.052753,-0.226901,-0.0117477,0.143934,-0.211334,0.142181,-0.907828,0.139324,0.338013,0.10864,-0.396406,-0.338433,-0.333671,-0.0167407,0.207083,0.322316,-0.297004,0.00387031,0.128249,0.583069,-0.263822,0.522782,0.268974,0.437288,0.475714,-0.213752,-0.364149,0.443281,0.145801,-0.036706,0.221762,-0.280617,-0.0924059,-0.32681,0.106821,0.407073,-0.0732627,0.0863326,0.346739,0.130491,0.348971,-0.0905314,-0.530001,0.321939,-0.110557,0.218034,-0.237109,0.23001,-0.228595,0.00770273,-0.111805,0.612194,-0.170094,-0.268545,0.221833,0.288921,-0.284262,-0.0718491,-0.366856,-0.2851,0.0846877,0.303252,0.554013,0.528025,0.21699,-0.010822,-0.322862,0.506636,0.178193,-0.144408,0.492227,-0.705147,-0.0208309,0.184476,0.0248535,-0.139021,0.421271,-0.390072,0.511141,0.325027,0.0395353,-0.220113,0.470588,-0.219874,0.026449,-0.0335209,-0.12274,0.232678,-0.338208,0.246807,-0.172895,0.679782,0.593899,0.0236221,0.0276845,-0.337644,
Article1,1.08111,0.202907,0.429481,0.339225,-0.199038,0.366674,0.263061,-0.419726,0.228073,0.49584,0.279131,-0.167188,-0.479404,-0.305869,-0.308048,-0.151503,-0.387248,-0.720412,-0.719922,-0.32593,-0.432097,0.0452924,-0.129004,0.4678,0.395828,0.829732,-0.874604,0.139406,0.0512778,0.209062,-0.237929,0.017083,-0.543682,-0.391674,0.651856,0.0100515,0.13723,0.048623,0.274807,-0.780957,-0.494345,-0.0915748,-0.164287,0.239406,-0.246819,-0.285688,-0.0525106,0.13771,0.387924,-0.113075,0.514439,0.495615,-1.1011,-0.184394,-0.21808,-0.105198,0.443613,-0.509869,-0.14097,-0.117484,-0.0257563,0.0850085,-0.229962,0.0588177,0.394394,-0.756953,-0.403468,-0.0277446,-0.00643966,-0.344843,0.320901,0.0646194,0.164029,0.256767,-0.0438251,0.413952,-0.030372,-0.206355,-0.245948,0.315298,0.170391,-0.376403,0.103229,-0.959949,-0.00892057,0.387455,0.0570795,0.0689933,-0.296022,0.0499262,0.0319529,-0.307137,0.044389,0.160007,-0.331409,-0.645443,0.107187,0.165051,0.20012,0.115819,-0.503684,0.403467,-0.222348,-0.0897767,0.0669323,0.159523,0.28344,0.56762,0.110847,-0.364174,-0.806588,0.0535966,0.202814,-0.00231155,-0.458757,-0.621282,-0.215063,0.754098,0.221266,0.674893,0.090246,-0.601568,-0.364841,0.35694,-0.441936,0.204911,0.357793,-0.1029,0.0318297,-0.692242,0.463353,0.626701,0.0162403,0.61184,0.113359,-0.15619,0.0698758,0.423632,-0.838078,-0.220018,0.0564387,0.338356,0.0396398,-0.167454,1.05891,0.285957,-0.506886,0.391102,0.0840768,0.341287,-0.871995,0.137826,-0.0335609,0.0779866,0.559364,-0.0242097,0.175308,-0.322329,-0.0819969,0.0372072,-0.0766509,0.111771,-0.223986,-0.228623,0.604252,-0.0306367,-0.228328,-0.0636087,-0.070809,0.209249,-0.346324,0.180648,0.235019,-0.0223931,0.161941,0.114404,-0.0637477,-0.0394115,0.0955613,-0.701492,0.247535,0.144448,0.420488,-0.0578993,-0.206883,0.103844,-0.57819,-0.321835,0.294431,-0.626279,-0.125168,0.213568,0.209649,0.706531,-0.415422,0.121197,0.859425,0.601579,0.141293,0.57234,
Article2,0.700224,0.71112,0.176006,0.401364,0.363825,0.0691972,0.147334,-0.50484,0.864098,0.279642,-0.0789053,0.0734125,-0.736358,-0.101469,0.36281,-0.10925,-0.250931,-0.141153,-0.314404,-0.134759,-0.193087,0.615669,0.342834,0.600369,0.0235638,1.26899,-0.263092,0.0362823,-0.354264,0.21542,-0.536444,-0.0340903,0.0546904,-0.542508,-0.145879,0.272526,-0.260158,-0.311472,-0.08826,-0.68426,-0.940173,0.36783,-0.595455,0.447339,-0.527138,-0.455446,-0.128854,0.027774,0.414503,-0.232601,0.862083,0.790531,-0.716469,-0.0338287,-0.0633163,-0.186523,0.574663,-0.265607,-0.870209,-0.0833215,0.457952,0.395926,0.269967,0.106205,0.090569,-0.597403,-0.0961325,0.203546,-0.0420982,-0.185612,0.153233,0.466047,0.612684,-0.115562,0.131033,-0.0575265,-0.497298,-0.239029,-0.740635,0.286328,0.337056,-0.287102,0.08541,-0.506341,-0.0524964,0.0285917,0.268231,-0.199749,0.276162,0.0584104,-0.60419,-0.296009,0.203525,0.547327,-0.226098,-0.376976,-0.25336,-0.533948,0.0226478,-0.424375,-0.810894,-0.108957,0.181718,-0.28437,-0.0303981,-0.0891004,-0.316023,-0.501559,0.107898,0.189953,-0.533398,0.104829,0.580343,-0.163354,-0.379558,-0.132258,0.0256121,0.271603,0.241088,0.589394,0.0611522,0.233019,-0.391537,0.0320762,-0.262129,0.594469,-0.264616,-0.00509153,0.523416,0.0733153,0.0493277,0.0610066,0.266447,0.500741,0.451222,0.530233,-0.0803225,-0.401122,0.479853,0.309287,-0.0149577,0.648329,0.476079,-0.0284634,0.471452,-0.278803,-0.183429,0.687415,-0.231195,-0.102054,-0.939695,0.072591,0.250483,0.0589902,0.325098,0.197284,-0.477452,0.703878,0.532665,0.351346,-0.520191,0.201885,-0.98532,-0.264105,0.791397,-0.768533,0.570112,0.512048,-0.164558,0.990155,0.127706,0.155153,0.507659,0.0601016,0.390012,0.14024,-0.353777,0.28544,0.104332,-0.274903,0.112266,-0.0234934,0.00444802,0.384261,-0.456686,-0.0396039,-0.620803,0.0286865,0.164401,-0.355681,-0.0544822,-0.174054,0.0256225,-0.651476,0.222214,0.15053,0.233437,0.121961,0.231982,-0.174522,
Article3,-0.350388,-0.204832,-0.527427,-0.100993,0.519417,0.0889877,-0.307009,-0.0907409,0.346969,-0.54673,-0.181086,-0.166019,-0.757888,0.916759,0.365934,-0.637036,-1.17613,-0.579024,0.299972,0.89199,-0.406457,-0.73658,0.0379595,-0.329667,0.306249,0.292994,-0.247863,-0.260221,1.1209,-0.447993,-0.297271,-0.761577,0.625329,0.0940345,-0.394805,0.804161,0.703403,0.468451,0.0983585,-1.89363,-1.33172,-0.972337,-0.802635,0.630905,-0.584359,-1.06113,0.14536,-0.926151,0.182506,0.516829,0.011548,-0.262017,0.322239,0.410549,-0.381508,-0.496993,0.0854526,0.76115,-1.21801,-0.72832,-0.667721,-0.221377,-0.575665,0.0434568,-0.296577,-0.131744,-0.660151,0.200447,0.0380316,-0.317237,-0.351113,0.535981,-0.241014,0.0662934,-0.262593,0.314597,0.983664,1.05164,0.760967,0.113873,0.175928,0.249646,0.481809,0.529532,0.977199,-0.359521,-1.42075,0.339195,0.567247,0.332838,0.187949,-0.962349,0.954999,0.760978,-0.580088,1.35215,-1.00438,1.08819,0.720813,-1.33428,-0.877632,0.570276,0.140083,-0.825432,1.36236,-0.311665,0.00660296,0.470798,1.57203,0.0185078,-0.891874,-0.480671,0.121592,-1.41544,0.403833,-0.530146,-1.47872,0.274724,-1.00274,0.440471,0.581889,0.911419,0.424776,1.00503,-0.986096,0.739415,-0.109355,0.445901,1.24457,-0.555606,-1.18993,-0.246746,-0.836838,-0.203238,-0.630963,-0.313721,0.092927,-1.91498,-0.286873,0.45282,0.463936,-0.514392,-0.0153992,-0.0730616,0.0191937,-1.16445,0.539203,0.392433,1.09933,-0.228371,0.363737,-1.48313,0.319458,0.56465,0.0273913,0.722381,0.442427,0.314015,-0.428915,0.762878,-0.262997,0.0505111,-1.33705,-1.71271,0.450124,-0.389199,1.38148,0.856666,-0.896691,0.496717,-0.520543,0.00130626,0.15624,0.471049,0.919336,-0.135212,0.0876668,-0.512495,-0.26242,0.118366,0.453322,0.140907,0.707248,-0.596269,-0.0123394,-0.0381279,0.112582,0.207598,-1.2008,-0.27616,-0.351052,-0.27157,0.0415218,0.499541,0.655228,0.235253,0.0414709,1.13513,0.321569,0.0535677,
Article4,0.135765,0.108633,0.0277131,0.0580963,0.214801,-0.028157,-0.294891,-0.157995,0.291216,0.126335,0.373966,-0.0465018,-0.40752,0.146834,0.537054,0.0517701,-0.46441,0.0229144,0.0105394,-0.156081,-0.334494,0.414861,0.297306,0.178927,-0.253091,0.321055,-0.306839,-0.277998,0.141658,0.102238,0.0804329,0.299403,-0.112019,-0.560846,0.172857,0.466908,0.148616,-0.166102,0.0918729,-0.0916924,-0.362656,0.0122995,-0.134984,-0.17566,-0.12491,-0.208102,0.3818,0.0573592,0.113205,0.287302,-0.0164028,0.184286,-0.227681,0.383908,-0.08306,0.0284163,0.11648,-0.0656255,-0.15683,-0.0570475,-0.150852,-0.00170692,-0.0251483,-0.250573,0.0159859,-0.370561,0.0910809,0.144921,0.0466195,0.0862476,0.0180789,0.102488,-0.0811716,0.00470769,-0.171227,-0.156197,0.197211,-0.0226173,-0.334742,0.406259,0.339209,-0.0562455,0.255388,-0.340618,-0.219651,-0.261903,-0.135255,0.279183,0.201752,-0.115992,-0.349442,-0.21425,0.364315,0.187794,-0.0221254,0.150871,0.0140612,0.218695,0.256461,-0.516336,-0.332831,0.27908,-0.00644809,-0.0513281,0.135673,-0.0503536,-0.323911,-0.134826,0.0916289,-0.245811,-0.349417,-0.0941731,-0.0734543,-0.482419,-0.0881297,-0.338037,-0.363322,0.204335,-0.0361248,0.422798,0.669495,-0.0603778,-0.145639,0.229732,-0.416359,0.539462,-0.393467,0.408766,0.550212,0.139073,-0.396977,0.0557107,0.131739,0.0190557,-0.129844,-0.170354,-0.160057,-0.445679,-0.474537,-0.125399,-0.257408,0.0573647,0.150619,-0.415686,0.391603,0.11758,-0.396601,0.290687,0.00166339,0.111062,-0.358572,0.286799,0.204174,0.409576,0.314991,0.237075,-0.265502,-0.00432861,0.15475,0.0801808,-0.219547,-0.174097,-0.632516,-0.322589,0.378438,-0.0420087,0.537452,0.575534,0.0657284,0.231218,-0.242104,0.108833,0.341741,-0.159311,0.0219303,-0.219422,-0.263921,-0.283859,0.377352,-0.513708,0.514973,0.00378712,0.547561,0.41266,0.0178069,-0.3144,0.159967,0.0997902,-0.181671,-0.21689,-0.272826,-0.224383,-0.306509,-0.323933,0.160116,0.00861782,0.617437,0.0987994,0.0447263,-0.103061,
Article5,0.626774,0.396579,-0.488458,-0.0513386,0.382147,0.227752,0.31398,-0.655004,0.412942,0.729499,0.176855,-0.0101346,-0.518949,-0.350613,0.181713,0.430124,-0.263966,-0.605837,-0.115513,-0.255978,-0.433647,-0.106639,-0.369852,0.582131,-0.190454,0.262776,0.24023,0.0992537,0.720464,-0.0693605,0.255297,0.574824,-0.197668,-0.0775353,0.862861,-0.04628,-0.0416527,0.263931,-0.613554,-0.0391113,0.187573,0.248806,0.132,0.185112,0.0489699,0.0874919,0.196947,-0.188209,-0.025451,0.34331,0.60743,0.460272,-0.601139,-0.058776,-0.212649,-0.350335,0.408073,-0.298494,-0.26382,0.0552922,-0.168649,-0.150925,0.464445,0.382353,0.362369,-0.412174,-0.060832,0.0881815,0.063246,-0.0783377,-0.463925,0.0181085,-0.475329,0.253363,0.0663037,-0.447947,-0.27302,-0.569976,0.0745945,-0.273204,0.275334,-0.0840815,0.0267517,-0.251756,0.303505,0.391775,0.00754067,0.181313,-0.289494,0.560981,0.139897,-0.435334,0.0192833,0.00282326,0.233313,-0.109844,0.117852,0.087587,0.256295,0.0338306,-0.175262,0.461276,0.470302,-0.035709,-0.163949,-0.329319,-0.342662,0.0862347,0.281993,-0.136626,-0.0662934,0.118986,-0.225816,-0.143543,-0.309364,-0.51027,-0.271915,-0.479521,-0.232671,0.935596,0.366983,-0.197312,0.0527282,-0.00255617,0.0224943,-0.299685,0.499245,-0.226607,0.413927,-0.0998343,0.369479,0.117636,-0.12219,0.68756,-0.772199,-0.157554,-0.200547,-0.369395,-1.30762,-0.525844,-0.058573,-0.368911,-0.214339,-0.20332,0.300044,0.31985,-0.408582,0.676697,0.167268,-0.0567582,-0.225935,-0.0568267,-0.515346,0.0946657,0.186359,0.22794,-0.389608,0.298964,-0.396183,0.454393,-0.188833,0.11226,-0.432492,-0.578882,0.318843,0.266849,-0.018081,-0.359651,-0.0628668,0.725074,-0.138107,-0.643295,-0.288335,-0.0622396,0.138344,0.058803,-0.084279,0.078761,-0.0949687,-0.0913657,0.429953,0.666489,0.342832,0.0804169,-0.0202769,-0.106014,0.0323405,-0.0111735,0.080956,-0.122404,0.495778,0.0550735,-0.0536172,-0.108255,-0.0798994,-0.759017,0.129885,0.151007,-0.096933,-0.246355,
Article6,0.312248,0.316489,-0.138806,0.267452,0.764416,-0.291031,0.485946,-0.161724,-0.0689001,-0.105557,-0.0460179,-0.668463,0.163931,-0.0669416,-0.0150627,0.191289,0.473371,0.0385619,-0.311289,-0.781994,-0.475337,0.0594796,0.1652,0.308176,-0.29522,0.462274,-0.144237,0.108115,0.379992,-0.0809905,0.0428495,0.0273629,0.228224,-0.158153,0.721293,0.789048,-0.10281,0.111005,0.127637,-0.297267,0.357072,-0.101851,-0.331981,0.0571228,-0.421135,0.11786,-0.0973781,-0.0747938,0.370145,0.0676058,-0.291389,0.277554,-1.04183,-0.465522,0.177348,-0.305887,-0.0809382,-0.309054,-0.450831,0.128307,-0.369933,0.118542,0.31318,0.125211,0.321881,-0.187659,-0.0296073,0.316068,-0.227928,-0.445942,-0.0573518,0.71144,-0.27891,-0.591059,-0.0960546,0.726991,-0.181304,-0.290427,-0.127552,0.715526,0.083911,-0.19172,-0.184442,-0.449386,-0.0521283,0.169834,0.02424,0.947515,-0.420201,-0.225026,-0.107328,0.824187,0.184036,-0.277095,-0.283015,-0.0960612,0.223906,0.0248604,0.241912,0.543939,-0.296384,-0.289094,-0.0567387,0.53603,-0.00172407,-0.156214,0.100291,0.36782,-0.525155,-0.698642,-0.56432,-0.155484,-0.322314,0.0937623,-0.380158,-0.249818,-0.476317,-0.0489392,0.381749,0.420973,0.0429239,-0.330467,0.0432812,0.401497,-0.322679,0.122416,-0.071311,-0.311565,0.608794,-0.297312,-0.353609,0.107716,0.063892,0.331918,-0.294531,-0.0849568,-0.372039,0.145967,-0.160888,-0.509455,-0.235106,0.445656,0.702258,-0.00412353,0.351545,0.132456,-0.442634,0.0614063,0.319587,0.260607,-0.190959,0.675967,-0.179919,0.0435098,0.417819,0.414199,-0.371304,0.10931,0.76626,0.270239,-0.92607,-0.18061,-0.0896623,-0.398918,0.256067,0.137933,-0.526604,0.181671,0.161356,0.391601,-0.0409137,-0.113281,0.519901,-0.774196,-0.0914679,-0.607487,0.159913,0.00676036,0.344732,-0.121835,0.356882,-0.539002,0.176053,-0.0957264,0.362086,-0.428292,0.292436,-0.177066,0.794555,-0.600248,0.438354,0.734835,-0.327172,0.0524073,-0.509842,0.552784,0.539382,-0.48706,0.0298577,-0.710632,
Article7,0.6368,0.501544,0.165949,0.394796,0.881638,-0.370502,0.828718,-0.220007,-0.0873406,0.30931,0.0924632,-0.786507,0.0761993,-0.0556358,-0.0529532,0.0830337,0.310319,0.0834797,-0.534006,-1.02872,-0.318887,0.37681,0.364634,0.388221,-0.454948,0.621217,-0.100451,0.146307,0.306973,0.0942108,0.313363,0.0933019,-0.100579,-0.145329,0.525822,0.825391,0.151553,-0.0908981,-0.144893,0.428986,0.556336,0.121245,-0.0445058,0.292626,0.00406523,0.229077,-0.120436,0.383449,0.73718,0.38746,-0.136722,0.810523,-1.01003,-0.536228,-0.236071,-0.411529,0.15668,-0.517627,-0.580871,0.192861,-0.0414937,-0.0198931,0.409681,0.251299,0.61108,-0.417684,0.0630261,0.222493,-0.393658,-0.718624,-0.502933,1.03476,-0.153319,-0.568941,0.0373196,0.706886,0.0374129,-0.729192,-0.535113,0.552218,0.00680127,-0.129675,0.0141012,-0.539752,-0.0727062,-0.161456,0.437166,0.929735,-0.155045,-0.444571,-0.208763,0.465798,0.210871,-0.366107,-0.262987,-0.370296,0.351133,-0.0345457,0.600849,0.626535,-0.0988704,-0.359282,-0.0582521,0.510282,-0.120819,-0.17735,0.249249,0.142759,-0.548216,-0.602175,-0.628867,-0.00528143,-0.349627,0.110495,-0.62628,0.0530387,-0.589373,-0.509086,0.430642,0.768431,0.192905,-0.356101,0.122725,0.330808,-0.554927,-0.107824,0.219827,-0.322423,0.57098,-0.251324,-0.321644,-0.122175,0.0922453,0.543432,-0.08711,0.128935,-0.33773,0.147437,-0.228937,-0.573328,-0.200683,0.562337,0.487779,-0.329705,0.235214,0.531103,-0.540766,0.241439,0.190183,0.253602,-0.653474,0.601945,-0.467175,-0.0512855,0.544466,0.0869514,-0.598536,0.433718,0.797724,0.110004,-0.776926,-0.331432,0.00276367,-0.507833,0.232181,0.307048,-0.459503,0.11084,0.0190126,0.418583,-0.314444,-0.132927,0.434818,-0.657708,-0.201147,-0.519222,0.0736028,-0.191769,0.141141,-0.251467,0.540879,-0.298995,-0.0287386,0.0160656,0.09333,0.0417262,-0.160533,-0.338201,0.714238,-0.554914,0.426986,0.896068,-0.315523,-0.407087,-0.397472,0.26225,0.358471,-0.693364,-0.0768001,-0.609765,
Article8,0.458559,0.340638,-0.372192,0.282886,0.199276,0.266329,-0.414213,-0.797436,0.0546915,-0.0129714,-0.767451,-0.185756,0.531824,0.0978359,-0.0484216,-0.156481,0.600421,-0.461982,0.397919,-1.34021,-0.347093,0.0481952,0.000697888,0.371077,0.340705,0.0560857,-0.185815,-0.429445,0.529651,-0.607942,-0.165678,-0.23113,0.859295,-0.290053,0.470548,0.291459,-0.84333,0.386569,0.321787,-0.113096,0.357023,-0.0109635,-1.07776,-0.247509,-0.502371,0.0855894,-0.0781181,-0.716818,-0.295523,-0.226134,-0.0296617,0.31599,-0.264356,0.191455,0.744238,-0.502327,0.0630713,-0.458149,-0.0641052,-0.222465,-0.931014,0.662949,0.213081,0.11488,0.680361,-0.371101,-0.129891,1.02076,0.322018,0.206261,-0.0571228,0.31189,-0.476474,-0.349515,-0.158844,-0.308179,-0.143444,-0.0602776,0.489374,0.763432,0.290272,0.000675778,0.106816,0.0584211,0.161773,0.595005,-0.132843,1.01482,0.0389313,0.42493,-0.0332632,1.14951,0.19406,0.340132,-0.108717,0.675299,0.671168,-0.0311407,-0.617835,0.47272,-0.707225,0.645498,0.536127,0.0551896,0.0113618,0.00297014,0.132321,0.182637,-0.657067,0.391711,-0.722387,-0.0321409,-0.167247,0.18233,0.449365,-0.241108,-0.708281,0.487234,-0.000537704,-0.730578,-0.239485,0.384105,-0.0763835,-0.0424791,-0.367679,0.166354,0.484397,0.14416,0.482868,-0.496173,0.0430821,-0.0718719,-0.379722,0.284175,-0.877294,-0.369774,-0.15931,0.669067,-0.168326,0.179552,-0.368234,-0.12702,0.587781,0.50004,0.497515,-0.104706,0.0944944,0.225356,-0.121077,-0.0237774,0.355592,0.256169,-0.209442,0.339607,-0.401354,1.04983,-0.527311,-0.223229,-0.296056,0.361529,-0.148866,0.0425232,-0.211117,0.209947,-0.189489,0.183769,0.00833974,0.121301,0.67079,1.01933,0.550527,-0.25026,0.253286,-0.576731,0.182226,-0.270225,0.108464,-0.0184836,0.384724,0.0317462,-0.213547,0.0248006,0.317356,-0.0375534,0.176324,0.121112,-0.0305961,-0.124239,0.276418,0.208387,0.38362,-0.291141,-0.265233,0.327345,0.334422,0.745128,0.837806,0.248236,-0.108356,-0.590643,
Article9,0.641672,-0.132328,0.693045,0.455347,-0.369269,0.288538,-0.0611872,-0.00500641,0.00209433,-0.0737624,0.444687,-1.07182,0.749554,-0.0751354,0.519621,0.16176,0.308317,-0.0362724,-0.244352,-0.814088,-0.163445,0.127688,0.408436,-0.446332,0.218405,0.25603,-0.467184,-0.104507,0.13604,-0.403313,0.00871554,-0.166498,0.223746,-0.601602,0.27215,1.04253,-0.0191094,0.130903,0.942823,-0.956528,0.116048,-0.020209,-0.945792,0.373185,-0.884723,-0.837352,0.0893066,-0.188884,-0.014532,-0.246311,-0.0159001,-0.254894,-1.29497,-0.0323141,0.653308,-0.395344,0.295036,-0.0451757,-1.01873,-0.396783,-0.747831,0.212567,-0.211514,-0.316603,0.498641,-0.387992,0.0715322,0.94124,-0.0927172,-0.289045,-0.200093,0.750594,-0.556618,-0.0594924,0.237532,0.696934,0.370244,-0.104915,0.572969,0.752078,0.0282315,-0.291986,-0.153282,-0.331229,-0.0409886,-0.503044,-0.108222,1.30865,0.0642759,-0.125586,0.472967,1.05605,0.47442,-0.119559,-0.308696,0.448362,0.834623,0.464053,0.316943,0.262131,-0.308923,-0.351552,-0.117384,0.321377,0.257545,-0.142119,0.0994002,-0.0565214,-0.392641,-0.155994,-1.05702,-0.216406,0.0646305,0.0801645,-0.287012,0.0650476,-0.9891,0.215209,-0.16594,-0.370596,0.241099,0.733497,0.0756065,0.443912,-0.544769,0.575968,0.0910376,0.186415,0.490312,-0.24022,-0.0952948,0.0377353,-0.116001,-0.0639735,-0.0243536,-0.39953,0.244951,0.540795,0.319077,-0.225158,-0.26046,0.139167,0.479016,0.222396,0.465573,-0.0967969,-0.591732,0.162352,0.365395,0.480902,-0.507148,0.323103,0.080268,0.588717,0.00234676,0.908663,-0.0405929,-0.162215,0.984297,0.331398,0.114191,-0.647781,0.169603,-0.0413315,0.0388648,-0.140205,-0.0766353,0.109477,0.122024,-0.318007,0.161927,0.0516766,0.348687,-0.987904,1.06305,-1.23138,0.384175,0.330342,-0.227491,-0.252346,0.0549546,-0.555623,0.642505,0.0534057,0.266097,-0.220858,0.542749,-0.233409,-0.0300519,0.0927362,-0.0949372,0.308727,-0.19856,0.517397,-0.341789,1.02029,0.427434,-0.154182,-0.152885,-0.746976,
