ArticleID,Dimension0,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6,Dimension7,Dimension8,Dimension9,Dimension10,Dimension11,Dimension12,Dimension13,Dimension14,Dimension15,Dimension16,Dimension17,Dimension18,Dimension19,Dimension20,Dimension21,Dimension22,Dimension23,Dimension24,Dimension25,Dimension26,Dimension27,Dimension28,Dimension29,Dimension30,Dimension31,Dimension32,Dimension33,Dimension34,Dimension35,Dimension36,Dimension37,Dimension38,Dimension39,Dimension40,Dimension41,Dimension42,Dimension43,Dimension44,Dimension45,Dimension46,Dimension47,Dimension48,Dimension49,Dimension50,Dimension51,Dimension52,Dimension53,Dimension54,Dimension55,Dimension56,Dimension57,Dimension58,Dimension59,Dimension60,Dimension61,Dimension62,Dimension63,Dimension64,Dimension65,Dimension66,Dimension67,Dimension68,Dimension69,Dimension70,Dimension71,Dimension72,Dimension73,Dimension74,Dimension75,Dimension76,Dimension77,Dimension78,Dimension79,Dimension80,Dimension81,Dimension82,Dimension83,Dimension84,Dimension85,Dimension86,Dimension87,Dimension88,Dimension89,Dimension90,Dimension91,Dimension92,Dimension93,Dimension94,Dimension95,Dimension96,Dimension97,Dimension98,Dimension99,Dimension100,Dimension101,Dimension102,Dimension103,Dimension104,Dimension105,Dimension106,Dimension107,Dimension108,Dimension109,Dimension110,Dimension111,Dimension112,Dimension113,Dimension114,Dimension115,Dimension116,Dimension117,Dimension118,Dimension119,Dimension120,Dimension121,Dimension122,Dimension123,Dimension124,Dimension125,Dimension126,Dimension127,Dimension128,Dimension129,Dimension130,Dimension131,Dimension132,Dimension133,Dimension134,Dimension135,Dimension136,Dimension137,Dimension138,Dimension139,Dimension140,Dimension141,Dimension142,Dimension143,Dimension144,Dimension145,Dimension146,Dimension147,Dimension148,Dimension149,Dimension150,Dimension151,Dimension152,Dimension153,Dimension154,Dimension155,Dimension156,Dimension157,Dimension158,Dimension159,Dimension160,Dimension161,Dimension162,Dimension163,Dimension164,Dimension165,Dimension166,Dimension167,Dimension168,Dimension169,Dimension170,Dimension171,Dimension172,Dimension173,Dimension174,Dimension175,Dimension176,Dimension177,Dimension178,Dimension179,Dimension180,Dimension181,Dimension182,Dimension183,Dimension184,Dimension185,Dimension186,Dimension187,Dimension188,Dimension189,Dimension190,Dimension191,Dimension192,Dimension193,Dimension194,Dimension195,Dimension196,Dimension197,Dimension198,Dimension199,
Article0,0.724789,0.50462,0.621782,0.417952,0.63954,0.531468,0.558486,0.367143,0.459319,0.616106,0.762425,0.148327,0.81462,0.569871,0.566274,0.402937,0.344723,0.381997,0.290881,0.375774,0.346825,0.690523,0.677935,0.518488,0.202665,0.635321,0.442538,0.646829,0.538421,0.240635,0.455606,0.303795,0.623571,0.31762,0.561294,1.0,0.679588,0.516764,0.838159,0.149511,0.4656,0.668606,0.0220654,0.678464,0.59711,0.364351,0.796106,0.56242,0.628297,0.450386,0.520681,0.610819,0.0949868,0.562087,0.713202,0.377418,0.585732,0.0837744,0.280832,0.637919,0.457523,0.534701,0.175907,0.361072,0.735559,0.249962,0.264357,0.866369,0.462947,0.355014,0.419224,0.776936,0.542627,0.514023,0.464951,0.663836,0.714634,0.465523,0.430527,0.950203,0.613882,0.601257,0.353386,0.360224,0.50697,0.623565,0.380308,0.750187,0.376821,0.380604,0.405745,0.610224,0.677673,0.575849,0.427692,0.578294,0.505507,0.58328,0.589652,0.736853,0.515161,0.485962,0.351607,0.624897,0.562454,0.398707,0.524687,0.615844,0.407822,0.614817,0.0,0.613145,0.729484,0.595178,0.299456,0.333401,0.336189,0.521763,0.65282,0.720293,0.357659,0.533832,0.60666,0.872973,0.377088,0.837673,0.689059,0.787613,0.810112,0.406406,0.318343,0.791122,0.616937,0.510073,0.661415,0.367254,0.477459,0.340206,0.594113,0.769921,0.488668,0.582116,0.734593,0.607972,0.7359,0.478556,0.221231,0.720072,0.466831,0.659232,0.39273,0.666244,0.397715,0.536076,0.4661,0.890027,0.431969,0.374323,0.661456,0.700739,0.36512,0.489495,0.316758,0.364629,0.581153,0.70913,0.85596,0.840743,0.65862,0.525229,0.342519,0.828218,0.635904,0.44701,0.819781,0.118677,0.519368,0.639583,0.546118,0.450164,0.778234,0.303165,0.830857,0.72188,0.554715,0.402682,0.807111,0.402822,0.547052,0.511938,0.459697,0.667807,0.333533,0.67608,0.430329,0.929602,0.879314,0.545397,0.547776,0.333863,
Article1,1.0,0.597562,0.701389,0.66003,0.413371,0.672608,0.625128,0.312241,0.609095,0.731799,0.632492,0.427966,0.284894,0.364416,0.363417,0.435154,0.327124,0.174452,0.174677,0.355223,0.306572,0.525335,0.445464,0.718949,0.685968,0.884804,0.103793,0.568463,0.528078,0.600383,0.395549,0.512408,0.255438,0.325096,0.803293,0.509186,0.567466,0.526862,0.63051,0.146707,0.278047,0.462616,0.429296,0.614288,0.391476,0.373664,0.480517,0.567686,0.682346,0.452764,0.740322,0.731695,0.0,0.420082,0.404645,0.456373,0.707865,0.270933,0.439981,0.450743,0.492777,0.543535,0.3992,0.531533,0.685311,0.157707,0.319691,0.491866,0.501629,0.346556,0.651633,0.534192,0.579746,0.622244,0.484497,0.694273,0.490662,0.410018,0.391875,0.649065,0.582662,0.332094,0.551885,0.064684,0.500492,0.682131,0.530737,0.536196,0.368928,0.527459,0.519223,0.363835,0.524921,0.577904,0.352712,0.208807,0.553698,0.580215,0.596285,0.557654,0.273767,0.689469,0.40269,0.46344,0.535252,0.577682,0.634466,0.764691,0.555376,0.337698,0.134962,0.529141,0.59752,0.503521,0.294355,0.219878,0.406028,0.850145,0.605975,0.813849,0.545935,0.228912,0.337392,0.668148,0.302063,0.598481,0.668539,0.457426,0.519166,0.187361,0.716911,0.791766,0.512022,0.784956,0.556527,0.433006,0.536601,0.698709,0.120532,0.403757,0.530443,0.659632,0.522745,0.427845,0.989826,0.63562,0.2723,0.683803,0.543108,0.660975,0.104989,0.567739,0.489201,0.540317,0.760908,0.493486,0.584915,0.356873,0.467005,0.52163,0.469455,0.555799,0.401939,0.399814,0.781478,0.490541,0.399949,0.475432,0.472132,0.600469,0.345877,0.587362,0.612277,0.494319,0.578789,0.557006,0.475368,0.48652,0.548371,0.183122,0.618013,0.570774,0.697268,0.478048,0.409776,0.552167,0.239625,0.357099,0.639503,0.217588,0.447222,0.602448,0.600652,0.828347,0.314214,0.560119,0.898411,0.780253,0.569328,0.766855,
Article2,0.747697,0.75253,0.515157,0.615125,0.598472,0.467777,0.502438,0.213138,0.820391,0.561129,0.40208,0.469647,0.110438,0.392071,0.598022,0.388619,0.32577,0.374467,0.297614,0.377304,0.351429,0.710189,0.589161,0.703402,0.447535,1.0,0.320376,0.453176,0.279933,0.532641,0.199119,0.42196,0.461342,0.196429,0.372371,0.557973,0.321678,0.298915,0.39793,0.133548,0.0200268,0.600249,0.172941,0.635519,0.203246,0.235049,0.379923,0.449402,0.620953,0.333901,0.819497,0.787757,0.119261,0.422076,0.408995,0.354342,0.691999,0.31926,0.0510624,0.400121,0.640227,0.612712,0.556838,0.484194,0.477258,0.172078,0.394438,0.527374,0.418407,0.354746,0.505055,0.643818,0.708865,0.385819,0.495207,0.411563,0.216484,0.33105,0.108541,0.564095,0.586598,0.309725,0.474969,0.212472,0.413795,0.449765,0.556067,0.348474,0.559585,0.462992,0.169067,0.305774,0.527364,0.679873,0.336786,0.269858,0.324693,0.200226,0.447128,0.248832,0.0773742,0.388749,0.517691,0.310937,0.423597,0.397557,0.296896,0.214593,0.484945,0.521344,0.20047,0.483583,0.694519,0.364619,0.268712,0.378413,0.448443,0.557563,0.544027,0.698533,0.464209,0.540448,0.263398,0.451311,0.320803,0.700785,0.3197,0.434823,0.669266,0.469604,0.458963,0.464144,0.555276,0.659207,0.637241,0.67229,0.401451,0.259147,0.649942,0.57428,0.430447,0.724677,0.648268,0.424456,0.646215,0.313406,0.355714,0.742015,0.334525,0.391811,0.0202389,0.469283,0.548195,0.46325,0.581293,0.524596,0.225287,0.749318,0.673369,0.592937,0.206328,0.526637,0.0,0.319926,0.788141,0.0961653,0.68998,0.664223,0.364085,0.876309,0.493732,0.505907,0.662276,0.463743,0.610089,0.499291,0.280149,0.563701,0.483363,0.315137,0.486882,0.42666,0.439055,0.607538,0.234499,0.419514,0.161697,0.449807,0.510009,0.279304,0.412914,0.359873,0.448448,0.148091,0.535654,0.503856,0.540633,0.491183,0.539987,0.359665,
Article3,0.448691,0.490433,0.39792,0.520212,0.698132,0.574694,0.461131,0.523152,0.648678,0.392384,0.497243,0.501564,0.331829,0.812082,0.654117,0.366487,0.211887,0.383123,0.6352,0.804978,0.432612,0.337939,0.560061,0.454633,0.637001,0.633199,0.478093,0.474549,0.870624,0.4207,0.463924,0.330771,0.728506,0.576142,0.435953,0.779791,0.750896,0.683516,0.577382,0.00612225,0.167266,0.270329,0.318996,0.730105,0.381593,0.244865,0.590861,0.283574,0.601514,0.69739,0.552486,0.474034,0.641586,0.666911,0.439766,0.406648,0.573681,0.767456,0.199876,0.340308,0.357687,0.485688,0.384086,0.561637,0.464123,0.511393,0.359858,0.606659,0.560081,0.458198,0.448483,0.702883,0.480057,0.568186,0.473869,0.639394,0.831269,0.850762,0.767404,0.581831,0.599627,0.620768,0.687347,0.701033,0.829415,0.446072,0.141733,0.646449,0.711849,0.644625,0.603074,0.273194,0.823048,0.767407,0.382818,0.936942,0.26114,0.861245,0.755889,0.166531,0.297489,0.712718,0.589348,0.312459,0.93987,0.459796,0.551068,0.684189,1.0,0.554482,0.293404,0.411329,0.584045,0.143256,0.664985,0.39714,0.125108,0.62796,0.26161,0.675492,0.716048,0.81055,0.670991,0.837396,0.266384,0.761223,0.517814,0.67705,0.906089,0.389839,0.207929,0.478413,0.309188,0.49089,0.368228,0.459206,0.575824,0.0,0.466906,0.679034,0.682222,0.401658,0.544759,0.528222,0.554679,0.215234,0.703807,0.661716,0.864438,0.483683,0.653487,0.123845,0.640788,0.711104,0.55703,0.756338,0.676053,0.639228,0.426171,0.767952,0.473753,0.56366,0.165737,0.0580061,0.678261,0.437561,0.945354,0.794848,0.292023,0.691623,0.399894,0.549549,0.593981,0.684261,0.812821,0.510399,0.574316,0.402202,0.473918,0.58312,0.679178,0.589584,0.751998,0.378178,0.545636,0.53824,0.581461,0.608709,0.204811,0.469978,0.448501,0.471294,0.561082,0.692433,0.73708,0.61664,0.561068,0.874705,0.641394,0.564537,
Article4,0.590073,0.569234,0.507084,0.53042,0.650776,0.464174,0.25931,0.364452,0.709466,0.58283,0.773022,0.450084,0.172806,0.598574,0.898279,0.525561,0.129112,0.503399,0.493894,0.365922,0.228893,0.80443,0.714143,0.623223,0.291414,0.732383,0.250134,0.272285,0.594599,0.564322,0.547575,0.715754,0.399764,0.0550453,0.618561,0.844404,0.599943,0.358226,0.556362,0.415376,0.207264,0.495246,0.382126,0.350885,0.389863,0.325968,0.779038,0.529854,0.572745,0.70646,0.473201,0.627338,0.310931,0.780657,0.422006,0.507624,0.575261,0.435396,0.365347,0.441984,0.369938,0.484488,0.466484,0.293348,0.498077,0.201192,0.555753,0.597105,0.521605,0.552041,0.499685,0.564515,0.423456,0.489415,0.35429,0.365833,0.637266,0.468428,0.228703,0.797824,0.746326,0.4426,0.681948,0.22419,0.317098,0.284647,0.381918,0.700224,0.640753,0.396712,0.217413,0.321246,0.765609,0.630033,0.468806,0.601675,0.496599,0.653767,0.682773,0.0892309,0.230171,0.700144,0.480847,0.446377,0.590002,0.447126,0.237021,0.382247,0.556174,0.297006,0.217432,0.41347,0.429383,0.115281,0.418112,0.226173,0.206752,0.642737,0.458054,0.810527,1.0,0.439427,0.373942,0.662243,0.166018,0.900129,0.1836,0.799749,0.908385,0.592614,0.180904,0.528587,0.586981,0.500435,0.386074,0.35496,0.362869,0.143499,0.121334,0.389488,0.288099,0.529858,0.601481,0.166535,0.786567,0.576106,0.181193,0.709059,0.487077,0.5711,0.2104,0.706073,0.642614,0.800371,0.727726,0.667883,0.281882,0.482475,0.604654,0.547382,0.317178,0.352085,0.0,0.238037,0.776456,0.453535,0.898586,0.927834,0.536282,0.663385,0.299853,0.569388,0.748271,0.363442,0.502643,0.317274,0.283097,0.267784,0.775622,0.0912497,0.88132,0.488708,0.906349,0.80274,0.499476,0.244326,0.608661,0.562442,0.346268,0.319218,0.276257,0.313463,0.250387,0.237005,0.608775,0.492418,0.960018,0.561681,0.520151,0.406644,
Article5,0.862331,0.759712,0.365172,0.560035,0.753278,0.684451,0.72289,0.290928,0.767006,0.908124,0.661761,0.578404,0.35158,0.426622,0.663927,0.774666,0.465248,0.312846,0.531427,0.468809,0.389606,0.535383,0.418045,0.842429,0.498019,0.700064,0.690013,0.627168,0.904096,0.552001,0.69673,0.839172,0.494803,0.548357,0.967576,0.56229,0.564353,0.700579,0.309406,0.565486,0.666539,0.693836,0.641765,0.665442,0.604752,0.621924,0.670718,0.49902,0.571576,0.735965,0.853707,0.788106,0.31494,0.55672,0.488125,0.426746,0.764836,0.449856,0.465313,0.60757,0.50774,0.515641,0.789966,0.75337,0.744462,0.399179,0.555803,0.622232,0.611116,0.547999,0.376109,0.590994,0.371025,0.695868,0.612479,0.383231,0.461212,0.328832,0.616175,0.46113,0.705662,0.545439,0.594847,0.470691,0.718221,0.757571,0.586283,0.663749,0.453868,0.833001,0.645286,0.388854,0.591518,0.58418,0.68693,0.533954,0.635459,0.621967,0.697175,0.598003,0.504792,0.788553,0.792577,0.567003,0.509835,0.436115,0.430166,0.621364,0.708631,0.522015,0.553369,0.635964,0.482255,0.518931,0.44501,0.355448,0.461705,0.369156,0.479199,1.0,0.746519,0.494962,0.606427,0.581782,0.592949,0.449325,0.80548,0.481902,0.767446,0.538416,0.747631,0.635362,0.52845,0.889428,0.238684,0.512686,0.49352,0.418249,0.0,0.348506,0.55681,0.418465,0.487371,0.492284,0.716678,0.725507,0.40078,0.884586,0.657488,0.557619,0.482202,0.557589,0.353186,0.625122,0.665998,0.684535,0.409239,0.716196,0.406308,0.785485,0.498741,0.632966,0.390121,0.324862,0.725058,0.70188,0.574861,0.422593,0.554896,0.906151,0.521355,0.296147,0.454385,0.555176,0.644594,0.609135,0.545351,0.618032,0.540585,0.542192,0.77459,0.880035,0.735752,0.61877,0.573882,0.535662,0.597338,0.57794,0.619011,0.528355,0.803934,0.607473,0.559019,0.534663,0.547303,0.24456,0.640823,0.650239,0.53971,0.473099,
Article6,0.680666,0.682798,0.453931,0.658148,0.90796,0.377411,0.76798,0.442411,0.489071,0.470645,0.500574,0.187684,0.60611,0.490056,0.516134,0.619863,0.761659,0.54309,0.367228,0.130615,0.284764,0.553605,0.606748,0.678619,0.375306,0.75608,0.451201,0.578053,0.714719,0.482994,0.545245,0.53746,0.638429,0.444206,0.886283,0.920342,0.472026,0.579506,0.587866,0.374276,0.703198,0.472507,0.356826,0.55242,0.312011,0.582952,0.474756,0.486109,0.709769,0.55769,0.377231,0.663226,0.0,0.289698,0.612855,0.369943,0.48302,0.368351,0.297083,0.588203,0.337749,0.583294,0.681134,0.586646,0.685508,0.429374,0.508823,0.682586,0.409132,0.299541,0.494876,0.88133,0.383504,0.226594,0.475421,0.889148,0.432569,0.377715,0.459588,0.883385,0.565886,0.427332,0.430991,0.297809,0.497502,0.609077,0.535891,1.0,0.31248,0.41059,0.469754,0.938006,0.616216,0.384416,0.381441,0.475418,0.636258,0.536202,0.645309,0.797132,0.37472,0.378385,0.495184,0.793156,0.522839,0.445181,0.57412,0.7086,0.259722,0.172514,0.240035,0.445547,0.361686,0.570838,0.332609,0.398128,0.284272,0.499105,0.715602,0.735319,0.545283,0.357587,0.545462,0.725529,0.361502,0.585242,0.487859,0.367089,0.829733,0.374254,0.345955,0.577852,0.555823,0.690554,0.375652,0.481,0.33669,0.59708,0.442831,0.267614,0.405523,0.747727,0.876715,0.521633,0.70042,0.590288,0.301204,0.554573,0.684355,0.654707,0.427715,0.863499,0.433264,0.545577,0.733734,0.731914,0.33706,0.578653,0.908887,0.659549,0.0581914,0.432917,0.478635,0.323179,0.652425,0.593041,0.258994,0.615028,0.604816,0.720555,0.503139,0.466762,0.785048,0.134535,0.477727,0.218336,0.604091,0.527104,0.696995,0.462462,0.703102,0.252761,0.612203,0.475586,0.705718,0.308413,0.670707,0.434699,0.92311,0.221975,0.744056,0.893091,0.359244,0.55005,0.26742,0.801578,0.794841,0.278872,0.538715,0.166487,
Article7,0.80714,0.741592,0.578957,0.68986,0.925792,0.318984,0.900147,0.391917,0.456209,0.648432,0.543345,0.117381,0.535463,0.471573,0.472873,0.538775,0.648921,0.538991,0.239747,0.0,0.343997,0.681144,0.675243,0.686674,0.27806,0.799588,0.449855,0.569438,0.6473,0.544192,0.650396,0.543751,0.449793,0.428107,0.753358,0.898534,0.571981,0.454485,0.428318,0.70643,0.768145,0.557293,0.476967,0.640347,0.500506,0.60955,0.44017,0.684361,0.855785,0.686305,0.432278,0.891329,0.0090561,0.23867,0.384132,0.299102,0.574465,0.247685,0.217036,0.591999,0.478427,0.488895,0.697074,0.620319,0.794675,0.296119,0.529079,0.60636,0.307762,0.150278,0.254806,1.0,0.424235,0.222817,0.516621,0.841104,0.516666,0.145157,0.239211,0.76615,0.501832,0.435693,0.505369,0.236962,0.463301,0.420291,0.710394,0.949101,0.423398,0.283089,0.397365,0.724269,0.600727,0.321114,0.371087,0.319084,0.6687,0.481794,0.789717,0.802165,0.450621,0.324421,0.470306,0.745827,0.439985,0.412589,0.619326,0.567719,0.232861,0.206711,0.193776,0.495976,0.3291,0.552083,0.195029,0.524239,0.212915,0.251824,0.707232,0.87093,0.59202,0.325963,0.55801,0.658851,0.229609,0.446282,0.605067,0.342284,0.775242,0.376739,0.342661,0.439327,0.543239,0.761892,0.45632,0.56102,0.334866,0.569986,0.387589,0.220691,0.401281,0.771053,0.734922,0.338755,0.612524,0.755917,0.236471,0.615541,0.590701,0.621435,0.181851,0.790248,0.272134,0.473682,0.762393,0.540674,0.208475,0.708723,0.885126,0.551846,0.122024,0.337918,0.499875,0.252431,0.611055,0.647336,0.275852,0.552251,0.507749,0.701388,0.346151,0.434117,0.709256,0.179799,0.401056,0.246912,0.534205,0.405601,0.566935,0.37667,0.760655,0.353637,0.484608,0.506321,0.543765,0.518757,0.420739,0.334638,0.844667,0.229615,0.70546,0.932785,0.345628,0.301254,0.305914,0.625626,0.672257,0.162519,0.461317,0.203033,
Article8,0.722478,0.675114,0.388806,0.651919,0.618336,0.645268,0.371928,0.218007,0.560264,0.533087,0.23005,0.463688,0.751905,0.577593,0.518849,0.475447,0.779457,0.352742,0.698122,0.0,0.398887,0.557655,0.538577,0.68734,0.675142,0.560824,0.463664,0.36581,0.751032,0.294117,0.471753,0.445464,0.883434,0.421797,0.727293,0.655362,0.199573,0.693563,0.667543,0.492872,0.681696,0.533894,0.105415,0.438885,0.33652,0.572674,0.506921,0.250387,0.4196,0.44747,0.526384,0.665215,0.432118,0.615195,0.837221,0.336537,0.56363,0.354281,0.512549,0.448944,0.164355,0.804571,0.623881,0.584439,0.811564,0.389244,0.486126,0.948285,0.667636,0.621142,0.515354,0.663568,0.346921,0.397914,0.474497,0.414517,0.480683,0.514087,0.734855,0.84493,0.654885,0.538569,0.5812,0.561762,0.603273,0.777281,0.484941,0.945898,0.553934,0.708971,0.524937,1.0,0.616242,0.674911,0.494631,0.809531,0.807872,0.525789,0.290143,0.728165,0.25424,0.797562,0.753633,0.560464,0.542861,0.53949,0.591444,0.611653,0.274386,0.695628,0.24815,0.525388,0.471122,0.61153,0.718785,0.441456,0.253816,0.733995,0.538081,0.24486,0.442108,0.692573,0.507618,0.521235,0.390619,0.605114,0.732855,0.596199,0.732242,0.339009,0.555601,0.50943,0.385782,0.652436,0.185932,0.389777,0.47431,0.807028,0.470689,0.610414,0.390396,0.48728,0.77438,0.739138,0.738124,0.496242,0.576251,0.628812,0.489666,0.528747,0.681121,0.641188,0.454175,0.6747,0.377093,0.959961,0.326502,0.448637,0.419386,0.683506,0.478505,0.555377,0.453502,0.622622,0.462189,0.612108,0.541647,0.587018,0.80772,0.947712,0.759417,0.43778,0.640029,0.306653,0.611488,0.429761,0.581862,0.530873,0.692822,0.551048,0.452526,0.548258,0.665763,0.523214,0.609118,0.586942,0.526008,0.488397,0.64932,0.621996,0.692378,0.42136,0.431766,0.669776,0.672618,0.837578,0.874803,0.638001,0.494776,0.301065,
Article9,0.743825,0.446547,0.763557,0.672261,0.355542,0.608193,0.473871,0.495448,0.498176,0.469041,0.668167,0.0857048,0.785261,0.468513,0.696948,0.5595,0.61579,0.48344,0.403521,0.184696,0.434595,0.546414,0.654244,0.325944,0.581256,0.595707,0.317935,0.457232,0.549622,0.342467,0.500719,0.433423,0.583308,0.266308,0.601899,0.897788,0.490032,0.547649,0.859491,0.129987,0.541943,0.489609,0.134111,0.640705,0.157566,0.175761,0.531672,0.424825,0.49179,0.402768,0.491264,0.399472,0.0,0.48496,0.748294,0.345527,0.610689,0.48002,0.106096,0.344975,0.210144,0.579014,0.416133,0.37577,0.68889,0.348351,0.524845,0.858883,0.46176,0.386355,0.42052,0.78566,0.283585,0.474521,0.588603,0.76505,0.639575,0.457076,0.717437,0.78623,0.508215,0.385225,0.438499,0.370153,0.481628,0.304162,0.455805,1.0,0.522058,0.449136,0.679029,0.902979,0.679587,0.451451,0.378807,0.669579,0.817934,0.675605,0.619103,0.598051,0.37872,0.362347,0.452286,0.620806,0.59629,0.442786,0.535549,0.475663,0.346565,0.437457,0.0913887,0.414254,0.522195,0.528161,0.387135,0.522355,0.117477,0.580029,0.433637,0.355033,0.589973,0.779093,0.52641,0.667869,0.288136,0.718589,0.532337,0.56897,0.685691,0.405107,0.46077,0.511865,0.452818,0.4728,0.488018,0.34392,0.591452,0.70508,0.619923,0.410892,0.397334,0.550823,0.681352,0.582789,0.676189,0.460194,0.270099,0.559728,0.637712,0.682076,0.302586,0.621469,0.528201,0.723486,0.498273,0.846371,0.48178,0.435068,0.875421,0.624655,0.54123,0.248571,0.562512,0.481497,0.512299,0.443521,0.467937,0.539419,0.544238,0.375231,0.559564,0.517219,0.631295,0.117937,0.905668,0.0244208,0.644925,0.624249,0.409996,0.40045,0.518478,0.283967,0.744145,0.517883,0.599574,0.412544,0.705831,0.407723,0.485829,0.53299,0.460908,0.615947,0.421108,0.696093,0.366097,0.889243,0.66154,0.438153,0.438651,0.210473,
