ArticleID,Dimension0,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6,Dimension7,Dimension8,Dimension9,Dimension10,Dimension11,Dimension12,Dimension13,Dimension14,Dimension15,Dimension16,Dimension17,Dimension18,Dimension19,Dimension20,Dimension21,Dimension22,Dimension23,Dimension24,Dimension25,Dimension26,Dimension27,Dimension28,Dimension29,Dimension30,Dimension31,Dimension32,Dimension33,Dimension34,Dimension35,Dimension36,Dimension37,Dimension38,Dimension39,Dimension40,Dimension41,Dimension42,Dimension43,Dimension44,Dimension45,Dimension46,Dimension47,Dimension48,Dimension49,Dimension50,Dimension51,Dimension52,Dimension53,Dimension54,Dimension55,Dimension56,Dimension57,Dimension58,Dimension59,Dimension60,Dimension61,Dimension62,Dimension63,Dimension64,Dimension65,Dimension66,Dimension67,Dimension68,Dimension69,Dimension70,Dimension71,Dimension72,Dimension73,Dimension74,Dimension75,Dimension76,Dimension77,Dimension78,Dimension79,Dimension80,Dimension81,Dimension82,Dimension83,Dimension84,Dimension85,Dimension86,Dimension87,Dimension88,Dimension89,Dimension90,Dimension91,Dimension92,Dimension93,Dimension94,Dimension95,Dimension96,Dimension97,Dimension98,Dimension99,Dimension100,Dimension101,Dimension102,Dimension103,Dimension104,Dimension105,Dimension106,Dimension107,Dimension108,Dimension109,Dimension110,Dimension111,Dimension112,Dimension113,Dimension114,Dimension115,Dimension116,Dimension117,Dimension118,Dimension119,Dimension120,Dimension121,Dimension122,Dimension123,Dimension124,Dimension125,Dimension126,Dimension127,Dimension128,Dimension129,Dimension130,Dimension131,Dimension132,Dimension133,Dimension134,Dimension135,Dimension136,Dimension137,Dimension138,Dimension139,Dimension140,Dimension141,Dimension142,Dimension143,Dimension144,Dimension145,Dimension146,Dimension147,Dimension148,Dimension149,Dimension150,Dimension151,Dimension152,Dimension153,Dimension154,Dimension155,Dimension156,Dimension157,Dimension158,Dimension159,Dimension160,Dimension161,Dimension162,Dimension163,Dimension164,Dimension165,Dimension166,Dimension167,Dimension168,Dimension169,Dimension170,Dimension171,Dimension172,Dimension173,Dimension174,Dimension175,Dimension176,Dimension177,Dimension178,Dimension179,Dimension180,Dimension181,Dimension182,Dimension183,Dimension184,Dimension185,Dimension186,Dimension187,Dimension188,Dimension189,Dimension190,Dimension191,Dimension192,Dimension193,Dimension194,Dimension195,Dimension196,Dimension197,Dimension198,Dimension199,
Article0,0.548988,0.324281,0.630087,0.302504,0.365951,0.418002,0.469812,0.594002,0.340103,0.533632,0.648463,0.387247,0.804785,0.541657,0.475562,0.42435,0.409692,0.537592,0.357893,0.492753,0.47941,0.63336,0.641791,0.236114,0.348271,0.403424,0.43279,0.721782,0.287122,0.258482,0.373648,0.249718,0.429693,0.478649,0.39882,0.712842,0.700477,0.453001,0.705408,0.403851,0.559587,0.68027,0.303453,0.593558,0.741327,0.458048,0.697894,0.63056,0.557559,0.382353,0.432272,0.386394,0.373239,0.508531,0.622277,0.52879,0.470156,0.283916,0.501651,0.625929,0.533186,0.489389,0.134382,0.33634,0.442587,0.492178,0.310026,0.54677,0.350554,0.420111,0.462431,0.542596,0.524571,0.560342,0.43756,0.544097,0.653852,0.453222,0.451283,0.779737,0.467842,0.490637,0.255848,0.527994,0.409826,0.578773,0.413536,0.427546,0.283552,0.260862,0.479056,0.482073,0.503744,0.498313,0.373936,0.384671,0.460329,0.451481,0.463608,0.665794,0.64316,0.298265,0.276372,0.628483,0.5488,0.56862,0.58584,0.57327,0.33345,0.604262,0.235422,0.5357,0.651673,0.743723,0.50636,0.628114,0.654583,0.416656,0.678768,0.462232,0.192123,0.636866,0.598813,0.683136,0.486385,0.551745,0.551312,0.637408,0.511428,0.519516,0.434012,0.785514,0.557286,0.324548,0.820709,0.412306,0.501352,0.517969,0.763096,0.672558,0.485832,0.556367,0.531764,0.686647,0.446072,0.479151,0.371848,0.476525,0.449064,0.733782,0.535833,0.662775,0.293038,0.444061,0.355541,0.60448,0.675311,0.334817,0.648927,0.481726,0.510972,0.521299,0.585696,0.663436,0.406491,0.632272,0.57485,0.525107,0.565724,0.239706,0.349633,0.862038,0.432756,0.576899,0.575366,0.268724,0.646773,0.637477,0.458208,0.526752,0.532139,0.226163,0.556627,0.632625,0.496061,0.461254,0.586138,0.301107,0.500137,0.60115,0.388906,0.5566,0.368487,0.574175,0.297311,0.676085,0.618854,0.44582,0.365982,0.495161,
Article1,0.992442,0.429566,0.753705,0.68412,0.216223,0.615393,0.576835,0.518551,0.515315,0.708194,0.584193,0.602086,0.322036,0.341762,0.325403,0.456088,0.377114,0.333781,0.183119,0.466532,0.403017,0.54604,0.450979,0.487543,0.801352,0.759979,0.100924,0.68704,0.30547,0.655107,0.309455,0.487172,0.0579184,0.466138,0.695207,0.363687,0.626623,0.493448,0.591558,0.362049,0.384381,0.496656,0.593665,0.585796,0.590367,0.457982,0.399869,0.674721,0.65163,0.394148,0.673458,0.567332,0.214588,0.376785,0.292291,0.663274,0.653866,0.403531,0.626735,0.438978,0.588241,0.532341,0.313902,0.521706,0.466002,0.304814,0.337699,0.178429,0.4153,0.39269,0.708854,0.360912,0.617756,0.68289,0.486432,0.611227,0.478374,0.409287,0.418729,0.547305,0.481483,0.225345,0.462976,0.254383,0.42676,0.669495,0.525741,0.320251,0.263738,0.410043,0.6203,0.325449,0.416982,0.542157,0.298568,0.0339286,0.533075,0.493309,0.507823,0.57302,0.44532,0.454062,0.317969,0.47941,0.553685,0.806488,0.736333,0.813295,0.453868,0.374922,0.29788,0.493256,0.571078,0.689581,0.479756,0.50246,0.708357,0.85192,0.686726,0.595856,0.419012,0.394614,0.336234,0.562133,0.372175,0.39935,0.597673,0.35269,0.230782,0.206344,0.86893,0.856293,0.485511,0.685198,0.773469,0.479704,0.637961,0.762721,0.401936,0.36587,0.570347,0.67666,0.370466,0.434009,0.820865,0.647128,0.384522,0.518422,0.535297,0.79743,0.262458,0.627111,0.400676,0.489014,0.746033,0.317633,0.849607,0.310382,0.527809,0.31921,0.621357,0.638149,0.652832,0.689682,0.638227,0.460708,0.270011,0.291333,0.419529,0.317251,0.337302,0.669064,0.459092,0.633026,0.431463,0.68723,0.620369,0.534603,0.493499,0.276227,0.409894,0.476361,0.50987,0.369682,0.334783,0.695687,0.129838,0.238075,0.609121,0.269666,0.387439,0.547952,0.635222,0.815787,0.182775,0.413609,0.725393,0.733981,0.43889,0.936417,
Article2,0.767568,0.644519,0.639931,0.728589,0.436012,0.455325,0.519781,0.472322,0.83239,0.600812,0.38434,0.708157,0.193201,0.451807,0.599643,0.475759,0.442278,0.587686,0.412579,0.550268,0.559623,0.766239,0.688544,0.555548,0.625207,1.0,0.381787,0.624675,0.117427,0.658679,0.132353,0.457248,0.37535,0.394354,0.301854,0.479698,0.372674,0.29637,0.425422,0.393513,0.179732,0.755711,0.416391,0.726469,0.472413,0.357722,0.354753,0.617615,0.662857,0.339007,0.830762,0.715451,0.386242,0.460652,0.388962,0.59408,0.722436,0.518159,0.309177,0.460329,0.852709,0.699999,0.551678,0.546804,0.311371,0.413118,0.498531,0.320528,0.394453,0.493479,0.628276,0.566686,0.905813,0.523755,0.608614,0.442923,0.239513,0.393944,0.199303,0.530456,0.557752,0.273164,0.45392,0.440367,0.404456,0.52815,0.600858,0.225517,0.620904,0.414156,0.256284,0.329397,0.484288,0.743415,0.350104,0.163764,0.360167,0.112263,0.430067,0.359558,0.317545,0.288207,0.515727,0.36299,0.520152,0.653445,0.430714,0.207587,0.452765,0.6259,0.466417,0.518621,0.796132,0.610995,0.513549,0.719706,0.817472,0.579473,0.697847,0.563452,0.401966,0.728554,0.322018,0.388296,0.48747,0.586114,0.272792,0.404242,0.541588,0.707401,0.651327,0.637998,0.624121,0.623416,0.920702,0.851517,0.511523,0.493733,0.905677,0.624734,0.523824,0.824613,0.599697,0.551864,0.510732,0.39515,0.561877,0.697918,0.395615,0.568487,0.233307,0.601874,0.55744,0.476864,0.609735,0.417467,0.520213,0.776606,0.772836,0.522029,0.385531,0.695495,0.295073,0.673193,0.721697,0.0815524,0.581123,0.518794,0.371906,0.592414,0.586433,0.653971,0.585451,0.670973,0.530832,0.700423,0.44193,0.683869,0.497876,0.46623,0.314716,0.397751,0.295284,0.673299,0.17129,0.59188,0.111298,0.454766,0.55624,0.42099,0.430167,0.372532,0.545625,0.102072,0.483905,0.427392,0.474225,0.494851,0.497088,0.57426,
Article3,0.147296,0.257109,0.32419,0.369087,0.496768,0.465974,0.295791,0.697233,0.574587,0.190369,0.327304,0.602602,0.182406,1.0,0.60092,0.23005,0.0,0.395755,0.760221,1.0,0.419817,0.244192,0.535043,0.0784595,0.758966,0.466697,0.388781,0.445359,0.801434,0.285939,0.274249,0.031852,0.678069,0.697295,0.179112,0.714676,0.988434,0.723216,0.510817,0.0,0.0,0.0,0.33121,0.850656,0.448336,0.0,0.516804,0.1221,0.564868,0.684744,0.445908,0.186819,0.849794,0.708177,0.190208,0.329919,0.466465,1.0,0.157722,0.0572015,0.237247,0.367127,0.149479,0.513571,0.114334,0.72921,0.203373,0.318625,0.441298,0.410164,0.385898,0.602534,0.357699,0.601481,0.333567,0.57576,0.997116,1.0,0.865362,0.430163,0.484017,0.560584,0.65539,0.865086,0.931492,0.375284,0.0,0.415499,0.802604,0.547187,0.709565,0.0929964,0.802121,0.854431,0.176872,1.0,0.0,0.996541,0.735952,0.0,0.289787,0.508052,0.49535,0.039288,1.0,0.516442,0.595195,0.758444,1.0,0.548248,0.245265,0.228735,0.522659,0.0,0.847806,0.542947,0.135448,0.581235,0.0,0.507012,0.707065,1.0,0.756719,0.90893,0.0232522,0.655605,0.353834,0.641948,0.997534,0.295773,0.0,0.51924,0.0129178,0.231941,0.44911,0.394375,0.657366,0.0,0.612618,0.694931,0.835877,0.269634,0.341558,0.514047,0.271976,0.0,0.958104,0.519228,0.985105,0.503256,0.794551,0.0,0.595507,0.800282,0.436526,0.654145,0.984399,0.599485,0.389514,0.78773,0.522279,0.599165,0.129791,0.0,0.569483,0.276467,0.897273,0.654964,0.0,0.418545,0.245739,0.562899,0.422581,0.86001,0.761456,0.559762,0.713525,0.317225,0.314826,0.641392,0.554691,0.474703,0.657776,0.0,0.46211,0.592948,0.430378,0.565369,0.00103143,0.46546,0.250894,0.3284,0.553366,0.707002,0.6884,0.467203,0.397202,1.0,0.55458,0.684861,
Article4,0.434316,0.389692,0.573369,0.482936,0.37782,0.40294,0.301764,0.660705,0.546793,0.524668,0.637129,0.655292,0.358078,0.585489,0.670872,0.550722,0.340227,0.659602,0.596447,0.540928,0.466969,0.688715,0.665622,0.339357,0.494301,0.482029,0.361694,0.434608,0.347378,0.595088,0.498331,0.652258,0.286912,0.385626,0.459019,0.565613,0.6339,0.37593,0.507849,0.586326,0.44483,0.55523,0.605713,0.304992,0.641665,0.503804,0.65653,0.632983,0.535597,0.578856,0.433261,0.41097,0.604377,0.693338,0.376629,0.776959,0.482699,0.612007,0.619828,0.476751,0.519845,0.485581,0.411315,0.357844,0.273412,0.567099,0.596503,0.284511,0.446319,0.665557,0.563324,0.380323,0.460325,0.575159,0.397409,0.4077,0.594797,0.495564,0.379343,0.600204,0.558737,0.396784,0.540311,0.508316,0.3189,0.413733,0.457318,0.394344,0.574456,0.329613,0.402056,0.358403,0.552293,0.556596,0.449922,0.41904,0.488415,0.522552,0.532507,0.323219,0.516381,0.413802,0.423634,0.502413,0.577368,0.677296,0.426692,0.415348,0.446685,0.428531,0.57992,0.420093,0.406388,0.455298,0.637895,0.62829,0.64114,0.541489,0.542317,0.500314,0.758393,0.611158,0.452963,0.494063,0.388576,0.559742,0.205535,0.622376,0.558529,0.75044,0.416759,0.635955,0.549496,0.355556,0.667487,0.472032,0.444402,0.479201,0.540889,0.412144,0.36584,0.54254,0.428755,0.223524,0.468579,0.572004,0.444993,0.457593,0.498783,0.678541,0.483532,0.684746,0.531882,0.701097,0.603855,0.435402,0.627166,0.454855,0.622185,0.346955,0.545381,0.456232,0.46086,0.646014,0.53751,0.454865,0.568397,0.54388,0.488886,0.324992,0.392076,0.626551,0.508554,0.570043,0.370461,0.51676,0.497214,0.422281,0.634144,0.359866,0.598069,0.41052,0.575412,0.6928,0.48184,0.393022,0.450994,0.498722,0.415497,0.498606,0.298181,0.349755,0.38392,0.274216,0.454579,0.360708,0.628299,0.483303,0.376918,0.608911,
Article5,0.724204,0.511481,0.341682,0.404621,0.443166,0.540641,0.601938,0.390764,0.607476,0.824248,0.527103,0.671325,0.302209,0.317673,0.525612,0.726863,0.436047,0.384002,0.525121,0.497172,0.402001,0.487386,0.329715,0.546192,0.523939,0.450185,0.612958,0.662758,0.61576,0.498675,0.602073,0.813309,0.241476,0.615642,0.799251,0.338789,0.512309,0.611284,0.185054,0.603436,0.697403,0.688594,0.715483,0.549065,0.714831,0.678384,0.547289,0.505423,0.477033,0.604694,0.715535,0.549582,0.437711,0.446756,0.295684,0.454702,0.63527,0.502725,0.573238,0.546964,0.510115,0.405118,0.644175,0.69306,0.449703,0.538852,0.517005,0.249651,0.456039,0.56138,0.331682,0.33707,0.207258,0.681435,0.563385,0.303554,0.354245,0.238543,0.560911,0.205054,0.529507,0.381878,0.424107,0.54475,0.58667,0.671197,0.508118,0.359844,0.267812,0.657781,0.682068,0.279968,0.406363,0.460482,0.574925,0.292954,0.53819,0.451081,0.532434,0.540621,0.581917,0.472772,0.656965,0.511757,0.474139,0.505576,0.417133,0.540582,0.517835,0.477984,0.754585,0.525631,0.315561,0.620662,0.543499,0.551776,0.682582,0.155341,0.432045,0.69466,0.581152,0.556367,0.558597,0.369764,0.669975,0.157433,0.671508,0.287487,0.472363,0.594075,0.819592,0.659851,0.408822,0.727305,0.387563,0.478966,0.410318,0.504081,0.222468,0.2163,0.495404,0.339074,0.237069,0.403597,0.420243,0.662251,0.438423,0.691426,0.572155,0.591878,0.540645,0.551805,0.13478,0.499682,0.529016,0.431285,0.564541,0.592647,0.402563,0.588561,0.561711,0.63846,0.554853,0.526911,0.510929,0.613566,0.351933,0.174357,0.423563,0.499009,0.446732,0.181315,0.216538,0.614696,0.421182,0.658837,0.607737,0.588902,0.398403,0.547978,0.538248,0.720717,0.469816,0.464659,0.456915,0.543822,0.395466,0.430125,0.522304,0.551445,0.762793,0.476225,0.507045,0.387568,0.341229,0.0,0.432676,0.509332,0.28601,0.539427,
Article6,0.53851,0.477606,0.498625,0.632757,0.592436,0.261492,0.686717,0.65868,0.367265,0.409492,0.402698,0.381095,0.6446,0.470396,0.445173,0.615674,0.788522,0.66646,0.414342,0.266769,0.374685,0.551517,0.599107,0.405659,0.474367,0.559194,0.436375,0.668117,0.457889,0.49214,0.476034,0.493183,0.467408,0.577275,0.729445,0.707996,0.473227,0.527589,0.524214,0.519435,0.775208,0.490861,0.524718,0.462477,0.517018,0.69632,0.373355,0.564336,0.644121,0.477502,0.308834,0.457813,0.241039,0.220193,0.53929,0.49252,0.379403,0.49777,0.491801,0.592599,0.400063,0.550423,0.572231,0.55687,0.429096,0.691254,0.533345,0.389659,0.285815,0.328697,0.527073,0.692475,0.333368,0.320526,0.449936,0.722973,0.401163,0.36981,0.471246,0.780062,0.441908,0.32424,0.316767,0.463719,0.404645,0.583781,0.514058,0.629935,0.186223,0.276758,0.5406,0.726814,0.476045,0.315031,0.32225,0.299619,0.58905,0.416887,0.526133,0.742194,0.53154,0.229903,0.399021,0.853813,0.530031,0.612132,0.64296,0.700105,0.216156,0.223433,0.447341,0.389738,0.258037,0.736463,0.513293,0.66748,0.589912,0.398475,0.776764,0.499623,0.391286,0.503088,0.553566,0.585976,0.448645,0.359799,0.373692,0.242708,0.595568,0.464826,0.439552,0.656023,0.511909,0.529536,0.59572,0.518289,0.265955,0.672162,0.660772,0.224316,0.380373,0.727875,0.718493,0.572502,0.447431,0.578641,0.419752,0.318702,0.63964,0.755767,0.555705,0.835306,0.319901,0.466963,0.663681,0.515237,0.573777,0.506483,0.865955,0.469664,0.16973,0.452087,0.715952,0.610543,0.48293,0.547325,0.153787,0.388251,0.537463,0.381505,0.497813,0.495066,0.591125,0.287195,0.321054,0.318594,0.757974,0.555818,0.617863,0.534406,0.486833,0.156452,0.383795,0.343707,0.707168,0.310604,0.508628,0.327571,0.812514,0.284223,0.728081,0.783854,0.37386,0.472006,0.138184,0.61641,0.59698,0.191202,0.367377,0.314297,
Article7,0.730123,0.555877,0.635417,0.723888,0.63821,0.218729,0.855704,0.627025,0.358072,0.615548,0.479997,0.329055,0.600612,0.476483,0.429683,0.565276,0.710576,0.686149,0.288319,0.158699,0.477196,0.674025,0.69952,0.446721,0.398787,0.646043,0.456486,0.691214,0.424031,0.590578,0.636523,0.53174,0.292981,0.583378,0.633061,0.72406,0.635777,0.417089,0.399508,0.755748,0.866676,0.616663,0.642913,0.621801,0.695935,0.762005,0.359728,0.80237,0.799146,0.625062,0.378818,0.725492,0.255231,0.180809,0.281053,0.402636,0.503733,0.39989,0.435173,0.632945,0.579637,0.475774,0.618128,0.62365,0.576283,0.535111,0.581821,0.332169,0.188928,0.156098,0.312936,0.858213,0.414003,0.32998,0.543132,0.715796,0.51305,0.16378,0.290466,0.685088,0.406621,0.357464,0.417677,0.426668,0.394112,0.453296,0.660957,0.623668,0.351738,0.170332,0.482556,0.599667,0.487395,0.268779,0.332051,0.166994,0.650065,0.384503,0.683392,0.774833,0.61369,0.207185,0.398281,0.838409,0.488999,0.599122,0.718902,0.572604,0.207537,0.267125,0.40752,0.464105,0.241755,0.744628,0.408277,0.802023,0.538655,0.138646,0.804195,0.631306,0.47916,0.492832,0.595872,0.548149,0.299724,0.249416,0.525658,0.236985,0.57166,0.494925,0.456352,0.567311,0.527616,0.647157,0.686109,0.634147,0.294836,0.672641,0.634762,0.193077,0.402803,0.783568,0.605842,0.29643,0.386018,0.756505,0.365946,0.42776,0.582307,0.752149,0.356551,0.806669,0.161365,0.406332,0.737365,0.367737,0.459112,0.653868,0.878498,0.36621,0.249028,0.356109,0.759384,0.559928,0.472276,0.634222,0.179933,0.360264,0.465156,0.391013,0.354057,0.483437,0.551692,0.34078,0.273267,0.363667,0.704872,0.464596,0.516248,0.476668,0.616297,0.268794,0.278167,0.420471,0.531269,0.650735,0.311551,0.227958,0.779851,0.309575,0.721209,0.85682,0.379532,0.230514,0.191252,0.479889,0.524393,0.0883418,0.29893,0.363208,
Article8,0.624891,0.48782,0.393868,0.643802,0.371758,0.561398,0.242939,0.313405,0.428879,0.455477,0.0,0.593901,0.829059,0.559109,0.431536,0.453771,0.849256,0.447058,0.815644,0.0222603,0.458714,0.547161,0.516282,0.437926,0.77527,0.337246,0.417279,0.343018,0.527283,0.196071,0.35232,0.34203,0.802186,0.514501,0.605807,0.488067,0.0,0.678403,0.613055,0.579362,0.775186,0.542112,0.218094,0.256385,0.482835,0.677261,0.384736,0.230838,0.362962,0.34199,0.427261,0.477118,0.58801,0.586138,0.893389,0.325381,0.454754,0.427802,0.660206,0.373364,0.0932919,0.843986,0.524621,0.551399,0.611544,0.566732,0.480865,0.822603,0.607319,0.741522,0.527183,0.487664,0.206523,0.423763,0.406062,0.353447,0.420531,0.47788,0.744893,0.807922,0.536343,0.427264,0.464799,0.671926,0.514127,0.751243,0.458176,0.653659,0.472821,0.591829,0.582982,0.842232,0.480284,0.635753,0.407546,0.672663,0.803544,0.386359,0.149456,0.714052,0.360663,0.532399,0.689181,0.56614,0.534539,0.71012,0.659289,0.595196,0.166852,0.717281,0.349826,0.450806,0.350476,0.779682,0.867234,0.67135,0.484746,0.701232,0.562283,0.0631948,0.225823,0.789007,0.489843,0.348401,0.41979,0.380865,0.663757,0.482909,0.515951,0.334672,0.648045,0.586722,0.266154,0.502987,0.341765,0.364013,0.445031,0.842767,0.657929,0.561285,0.293625,0.454531,0.658366,1.0,0.524492,0.472827,0.714266,0.418018,0.444403,0.608909,0.791044,0.672896,0.303608,0.656345,0.187079,0.801735,0.495054,0.355404,0.442477,0.528604,0.582961,0.594082,0.658879,0.893493,0.284204,0.570877,0.362228,0.364397,0.796243,0.602694,0.808651,0.41398,0.467558,0.378029,0.440301,0.490818,0.726321,0.544219,0.637823,0.602812,0.0854664,0.420356,0.456676,0.383653,0.585588,0.708183,0.368084,0.360229,0.601795,0.736431,0.694995,0.319544,0.404016,0.616502,0.536896,0.706791,0.716718,0.557809,0.278679,0.37248,
Article9,0.732999,0.287775,0.872008,0.76722,0.14975,0.573349,0.41698,0.743798,0.402658,0.425283,0.676605,0.203271,0.938227,0.465985,0.663745,0.601927,0.709619,0.633658,0.452218,0.252711,0.579046,0.57785,0.721574,0.0186131,0.717401,0.446499,0.288048,0.53953,0.344773,0.311042,0.455783,0.379823,0.465032,0.36623,0.507979,0.820034,0.526715,0.538479,0.897234,0.30492,0.664571,0.536898,0.272351,0.676302,0.321947,0.132166,0.483678,0.505072,0.481645,0.332682,0.433488,0.190397,0.128071,0.461496,0.836592,0.416407,0.576126,0.621604,0.2445,0.264414,0.193447,0.601125,0.322676,0.322873,0.519058,0.555267,0.586273,0.77375,0.364861,0.428008,0.458475,0.712546,0.155067,0.54772,0.683031,0.712243,0.683314,0.45692,0.781973,0.801319,0.416428,0.270549,0.332604,0.512165,0.410346,0.318754,0.466935,0.75724,0.488641,0.324962,0.872659,0.809072,0.598862,0.396889,0.309683,0.562912,0.881933,0.656304,0.559006,0.630836,0.526325,0.209687,0.36934,0.725392,0.619357,0.620808,0.642505,0.459708,0.265684,0.469211,0.143379,0.359575,0.488703,0.729828,0.553036,0.807358,0.35743,0.547629,0.469485,0.199625,0.507397,0.928809,0.57078,0.608672,0.306238,0.577244,0.458434,0.50518,0.520657,0.502192,0.575316,0.629018,0.412251,0.309385,0.713457,0.347895,0.785341,0.800932,0.844225,0.363355,0.363852,0.581585,0.60124,0.764576,0.507629,0.476355,0.338,0.379852,0.659935,0.869528,0.419557,0.698791,0.463499,0.815675,0.421955,0.738108,0.740659,0.383125,0.952873,0.509151,0.722826,0.154794,0.837784,0.77672,0.386054,0.404408,0.329118,0.359725,0.517483,0.131465,0.604418,0.592716,0.511773,0.188889,0.824071,0.0,0.895949,0.704501,0.332259,0.476277,0.27439,0.148672,0.624382,0.446111,0.644344,0.460714,0.617534,0.29274,0.477158,0.671756,0.405713,0.591017,0.436477,0.716386,0.217549,0.836086,0.552063,0.35717,0.250103,0.296674,
