ArticleID,Dimension0,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6,Dimension7,Dimension8,Dimension9,Dimension10,Dimension11,Dimension12,Dimension13,Dimension14,Dimension15,Dimension16,Dimension17,Dimension18,Dimension19,Dimension20,Dimension21,Dimension22,Dimension23,Dimension24,Dimension25,Dimension26,Dimension27,Dimension28,Dimension29,Dimension30,Dimension31,Dimension32,Dimension33,Dimension34,Dimension35,Dimension36,Dimension37,Dimension38,Dimension39,Dimension40,Dimension41,Dimension42,Dimension43,Dimension44,Dimension45,Dimension46,Dimension47,Dimension48,Dimension49,Dimension50,Dimension51,Dimension52,Dimension53,Dimension54,Dimension55,Dimension56,Dimension57,Dimension58,Dimension59,Dimension60,Dimension61,Dimension62,Dimension63,Dimension64,Dimension65,Dimension66,Dimension67,Dimension68,Dimension69,Dimension70,Dimension71,Dimension72,Dimension73,Dimension74,Dimension75,Dimension76,Dimension77,Dimension78,Dimension79,Dimension80,Dimension81,Dimension82,Dimension83,Dimension84,Dimension85,Dimension86,Dimension87,Dimension88,Dimension89,Dimension90,Dimension91,Dimension92,Dimension93,Dimension94,Dimension95,Dimension96,Dimension97,Dimension98,Dimension99,Dimension100,Dimension101,Dimension102,Dimension103,Dimension104,Dimension105,Dimension106,Dimension107,Dimension108,Dimension109,Dimension110,Dimension111,Dimension112,Dimension113,Dimension114,Dimension115,Dimension116,Dimension117,Dimension118,Dimension119,Dimension120,Dimension121,Dimension122,Dimension123,Dimension124,Dimension125,Dimension126,Dimension127,Dimension128,Dimension129,Dimension130,Dimension131,Dimension132,Dimension133,Dimension134,Dimension135,Dimension136,Dimension137,Dimension138,Dimension139,Dimension140,Dimension141,Dimension142,Dimension143,Dimension144,Dimension145,Dimension146,Dimension147,Dimension148,Dimension149,Dimension150,Dimension151,Dimension152,Dimension153,Dimension154,Dimension155,Dimension156,Dimension157,Dimension158,Dimension159,Dimension160,Dimension161,Dimension162,Dimension163,Dimension164,Dimension165,Dimension166,Dimension167,Dimension168,Dimension169,Dimension170,Dimension171,Dimension172,Dimension173,Dimension174,Dimension175,Dimension176,Dimension177,Dimension178,Dimension179,Dimension180,Dimension181,Dimension182,Dimension183,Dimension184,Dimension185,Dimension186,Dimension187,Dimension188,Dimension189,Dimension190,Dimension191,Dimension192,Dimension193,Dimension194,Dimension195,Dimension196,Dimension197,Dimension198,Dimension199,
Article0,0.273445,-0.129921,-0.0619435,-0.148104,0.118909,-0.0716097,0.174141,-0.196754,0.0650082,0.0156272,0.661933,-0.638522,0.217619,0.204442,0.128902,-0.0368917,-0.288327,-0.219757,-0.265069,-0.0548748,-0.108361,0.249261,0.152468,-0.173548,-0.489386,0.23764,-0.22029,0.188509,0.0500441,-0.536214,0.0255168,-0.296412,0.00745456,-0.517603,0.111631,0.719082,0.16159,-0.0537784,0.486767,-0.628363,-0.333635,0.082791,-0.826783,0.0981203,0.0642451,-0.327873,0.384637,0.00689183,-0.148584,-0.250514,-0.035009,0.0574763,-0.694703,-0.0267656,0.158838,-0.0476495,-0.0835112,-0.585864,-0.383522,0.050117,-0.146583,-0.24917,-0.523021,-0.183711,0.122591,-0.460476,-0.338684,0.410078,0.090816,-0.306142,-0.228562,0.378467,-0.043393,0.00324585,0.056397,0.0875455,0.315418,-0.0773079,-0.154639,0.726879,-0.00748711,0.0910733,-0.124649,-0.206639,0.135973,0.357077,-0.369829,0.285232,-0.114596,-0.131831,-0.0502002,0.337821,0.136484,0.0462461,-0.207364,0.22384,-0.0699785,0.224401,0.0409985,0.302389,-0.0851433,0.0999672,-0.323457,0.203588,0.157636,-0.31658,0.0622105,0.116645,-0.193238,0.000283362,-0.857253,0.283617,0.325504,-0.0771698,-0.562962,-0.525344,-0.548258,-0.0584961,0.144154,0.633301,-0.0802364,0.0602287,0.0319057,0.684,-0.364162,0.58984,0.240872,0.299056,0.668031,-0.196826,-0.429757,0.576037,0.0630241,0.0560988,-0.03065,-0.320543,-0.173844,-0.350213,-0.111991,0.443152,-0.0258498,0.186605,0.24527,0.0174142,0.50212,-0.221948,-0.446973,0.192375,-0.0923022,0.0676701,-0.271173,0.263018,-0.116311,-0.0719591,-0.157551,0.737707,-0.0912327,-0.196873,0.247128,0.229522,-0.147386,-0.159771,-0.305156,-0.384457,0.0256857,0.271587,0.242072,0.571154,0.0724996,-0.0572978,-0.171268,0.261494,0.323561,-0.0619424,0.254469,-0.451581,-0.019653,0.352456,0.0631265,0.043262,0.258196,-0.234118,0.356465,0.398605,0.0372521,-0.189547,0.472786,-0.224793,-0.115461,-0.135262,-0.0452503,0.136729,-0.167425,0.265745,-0.0428284,0.515905,0.177856,-0.0651136,0.0181066,-0.0705646,
Article1,1.37021,0.302429,0.629039,0.326934,0.102941,0.632252,0.248856,-0.620219,0.0985601,-0.0321513,0.338065,-0.195642,-0.270361,0.0135234,-0.310857,-0.0348635,-0.252539,-0.615019,-0.643239,0.136496,-0.39283,-0.177484,-0.0104414,0.481328,0.215724,0.505317,-0.616226,-0.0620569,-0.223029,0.414739,-0.479989,-0.124537,-0.371959,-0.332603,0.352522,-0.359451,0.178338,-0.141996,-0.136111,-0.759235,-0.43141,0.268117,-0.304169,0.165334,-0.239342,-0.334587,-0.102559,0.177978,0.192743,-0.0758956,0.400493,0.2781,-0.594025,-0.186831,-0.27361,0.18669,0.554146,-0.593221,-0.342445,-0.332711,-0.000702611,-0.250768,-0.175477,-0.0401116,0.165056,-0.610185,-0.411085,-0.0391657,0.136692,-0.0520175,0.23621,-0.136673,0.276785,-0.200599,0.250911,0.440352,-0.117831,-0.014387,-0.0692042,0.265207,0.0312211,-0.610546,-0.192997,-0.703158,-0.00589343,0.530413,-0.107893,-0.3031,-0.0915719,0.217585,0.209744,0.0666725,0.134935,-0.173616,-0.495849,-1.03785,0.0412622,0.00213401,0.227573,-0.206135,-0.424598,0.14742,-0.189369,0.155204,0.19681,0.200107,0.275739,0.142298,-0.0753011,-0.323254,-0.711047,-0.129319,0.0259421,-0.0511709,-0.978836,-0.679771,-0.259358,0.498334,0.143316,0.881726,0.012047,-0.300925,-0.460951,0.480528,-0.481926,0.528857,0.309503,-0.152589,0.652721,-0.814802,0.194079,0.634484,0.320518,0.499141,0.16278,-0.484045,0.208715,0.286956,-0.664175,-0.55573,-0.159535,0.148019,-0.06381,0.0551107,0.787755,0.334877,-0.409589,0.0762194,0.230492,0.18543,-0.78753,0.432655,-0.168274,-0.0387058,0.272479,0.0251958,0.182889,-0.253431,0.0055861,0.28091,-0.0924846,-0.110171,-0.205096,-0.218182,0.710278,-0.337964,-0.103166,0.0777544,-0.475383,0.219323,-0.425178,0.189211,0.321237,-0.000859237,0.109687,0.345773,-0.301964,-0.152595,-0.075926,-0.830698,0.0968312,-0.0613932,0.437485,-0.441308,-0.325715,-0.417317,-0.442234,-0.353175,0.148235,-0.619811,-0.195763,0.0875396,0.0361241,0.920643,-0.64565,0.385005,0.707048,0.537146,0.0319915,0.150157,
Article2,0.879742,0.446938,0.120892,0.391627,0.360308,-0.00123409,0.173533,-0.333971,0.620501,-0.0868433,-0.13703,0.085059,-0.506168,0.363163,0.0272801,0.169212,-0.200174,-0.0700075,-0.44403,-0.0235509,-0.240302,0.44696,0.5517,0.339005,-0.117131,1.21382,-0.202395,-0.215513,-0.669357,0.39134,-0.562449,0.255317,0.0534791,-0.629017,-0.283359,0.349129,-0.25057,-0.318539,-0.327383,-0.304568,-0.945682,0.52499,-0.68014,0.252558,-0.539059,-0.471229,-0.341226,-0.0631235,0.534783,-0.389221,0.727504,0.779402,-0.638491,-0.0752196,0.212097,-0.319507,0.449441,-0.172955,-0.852702,-0.311539,0.39077,0.16745,0.44566,0.0532578,0.251979,-0.488944,0.0826474,0.350194,-0.0643563,-0.1551,0.22014,0.284162,0.537887,-0.158945,0.309424,-0.0886276,-0.427202,-0.247964,-0.723971,0.343938,0.434984,-0.324756,0.204778,-0.395165,-0.231726,-0.231031,0.376713,-0.191966,0.30926,0.0102146,-0.569866,-0.0564112,0.159865,0.218978,-0.335929,-0.204384,0.0695034,-0.324864,0.0125476,-0.652889,-0.589296,0.0688412,0.254695,-0.200118,-0.0101542,0.013043,-0.265347,-0.598419,0.064248,0.00547886,-0.286758,-0.0697597,0.302439,-0.276848,-0.487018,-0.119084,0.0846621,0.225291,0.093641,0.582329,0.00157263,0.291057,-0.369922,0.401294,-0.280313,0.641368,-0.238458,0.149954,0.754116,0.0964643,-0.103541,0.058587,0.291252,0.0887029,0.559019,0.290893,-0.204791,-0.404319,0.426052,0.255442,-0.189922,0.642974,0.6655,-0.148428,0.462648,-0.259903,-0.309359,0.666723,-0.0509838,-0.108407,-0.915586,0.297799,0.0336397,-0.04063,0.529412,0.205204,-0.512241,0.697684,0.482622,0.412109,-0.451741,0.0633546,-0.898619,-0.207006,0.712233,-0.661509,0.35021,0.510433,-0.28241,1.12855,-0.0456158,0.105155,0.714572,-0.145968,0.503373,0.256451,-0.689627,0.283947,0.402302,-0.451131,0.242148,-0.417927,0.152573,0.412605,-0.309313,-0.15622,-0.537061,-0.0930184,-0.0228454,-0.155907,-0.11163,0.044515,-0.0600369,-0.522658,0.126847,0.368701,0.45425,0.160718,-0.00166463,-0.0307206,
Article3,-0.203009,-0.0990082,-0.600743,0.202792,0.384476,-0.107461,-0.528836,-0.0170906,0.484161,-0.485161,0.00899014,-0.0626102,-0.884467,0.532539,0.8257,-0.624286,-0.775236,-1.00711,0.493319,0.270542,-0.299994,-0.613461,-0.172264,-0.110023,0.0605188,0.94847,-0.411988,-0.0574418,0.825949,-0.129902,-0.154509,-0.65095,0.869665,0.536381,-0.197245,0.833901,0.682046,0.259682,0.281188,-2.00616,-1.77235,-1.14919,-0.957425,0.296541,-0.381075,-0.858506,-0.359291,-0.693559,0.527704,0.62184,-0.23772,-0.268031,0.336044,-0.0100713,-0.226285,-0.0778213,-0.328123,0.828354,-1.04522,-0.670664,-0.455491,-0.270552,-0.0311341,0.781097,-0.265886,-0.510852,-0.245707,0.085439,0.594175,-0.647356,-0.140271,0.591437,-0.099826,0.0702717,-0.0647634,0.167982,1.01303,1.18767,1.00092,0.580893,0.247096,-0.0343512,0.644652,0.549391,0.764802,0.0844073,-1.17167,0.425102,0.590313,0.251656,0.393542,-1.05387,0.792435,1.10324,-0.811926,1.84133,-0.760603,1.1896,0.473926,-0.921659,-0.920949,0.76386,0.00139519,-1.35778,1.48255,-0.143361,-0.539181,0.522823,1.27779,-0.277152,-0.792083,-0.143588,0.178657,-1.42461,0.837783,-0.322719,-1.11505,0.283811,-1.01216,0.402067,0.253983,0.90104,0.157471,0.925959,-0.787223,0.85488,-0.220039,0.262495,0.721534,-0.362055,-1.0378,0.00680748,-0.639718,-0.316222,-0.51147,-0.0365042,0.33669,-1.29629,0.150023,0.730733,0.514246,-0.269152,0.185644,-0.223405,0.0682617,-1.26551,0.474213,0.216048,0.98423,-0.297451,0.620496,-1.34058,0.101366,0.203193,0.525273,0.264903,0.634611,0.0877671,-0.880935,0.925215,-0.707321,0.216289,-1.61368,-1.54219,0.5303,-0.157377,1.14915,1.11614,-0.631564,0.0249194,-0.698497,-0.338699,0.110614,0.330423,0.612347,0.508913,0.213258,-0.231958,-0.110401,-0.33741,0.174242,0.297298,0.830808,-0.129716,0.157925,-0.552451,0.189015,0.271733,-1.16793,-0.478296,-0.349164,-0.575828,-0.403688,0.121154,0.760958,0.293615,0.559059,1.05045,0.452921,-0.277346,
Article4,0.186414,0.0651659,-0.019506,0.209811,0.222752,-0.088433,-0.326713,-0.154149,0.539416,-0.0111679,0.656588,-0.113303,-0.449187,0.0965734,0.339826,0.297912,-0.335538,-0.10736,0.0580213,-0.219504,-0.452203,0.345196,0.27547,0.27807,-0.478371,0.462856,-0.438289,-0.28942,0.126417,0.179432,-0.00290097,0.356798,0.0540185,-0.517436,0.343869,0.479734,0.039469,-0.0573905,-0.0274537,-0.108869,-0.371694,-0.00440363,-0.421499,-0.00678558,-0.210412,-0.232656,0.257917,0.154201,0.0534664,0.29445,-0.092095,0.20493,-0.406745,0.471361,-0.0355091,-0.00949977,0.11878,-0.110009,-0.116381,-0.0916582,-0.0814994,-0.0356597,-0.0407784,-0.237708,-0.00670356,-0.369714,0.0355245,0.0103031,0.249357,0.082687,0.0412294,-0.13288,-0.082645,0.0918011,-0.222814,-0.0898579,0.190499,-0.0788571,-0.320952,0.342896,0.424414,-0.181628,0.230805,-0.335142,-0.151676,-0.174334,-0.0624065,0.14632,0.183926,0.0385954,-0.35886,-0.33706,0.386687,0.128714,-0.0459385,0.201613,0.133719,0.358804,0.243111,-0.571155,-0.300173,0.355066,-0.0752908,-0.0547848,0.301616,-0.081612,-0.390298,-0.132345,-0.00655799,-0.162758,-0.24614,-0.158309,-0.101786,-0.622818,-0.0835448,-0.273204,-0.385453,0.122169,-0.123839,0.549276,0.718526,-0.237005,0.013411,0.285062,-0.321438,0.607215,-0.345432,0.429867,0.626769,0.250154,-0.243671,0.0724652,0.12866,0.0851886,-0.176882,-0.187426,-0.0988754,-0.461539,-0.334361,-0.060195,-0.255678,0.0431645,0.091765,-0.258274,0.231838,0.230856,-0.510462,0.355636,0.0952237,0.0366278,-0.224276,0.143754,0.183227,0.414979,0.282189,0.0738208,-0.099774,-0.0747672,-0.176615,0.0137413,-0.259853,-0.290361,-0.556727,-0.252117,0.31576,-0.137336,0.627483,0.643519,-0.0791359,0.0654098,-0.282726,0.105056,0.296447,-0.213595,-0.0889737,-0.104543,-0.122488,-0.139021,0.491193,-0.524353,0.497932,0.00569056,0.56971,0.411641,0.157477,-0.299267,0.0437462,0.0579934,-0.1441,-0.199854,-0.16433,-0.228775,-0.288093,-0.101584,0.219925,-0.130515,0.36399,0.0524622,0.0749492,0.0520668,
Article5,0.643032,0.456659,-0.38127,-0.157073,0.685794,0.0629338,0.332602,-0.56765,0.396587,0.528735,0.200061,-0.0573821,-0.595243,-0.579453,0.231497,0.292268,-0.323244,-0.648104,-0.264915,-0.408174,-0.577568,-0.0470701,-0.165596,0.886891,-0.0803482,0.513399,0.460993,0.0459318,0.433774,-0.00414765,-0.0886747,0.537501,-0.211299,0.245418,0.805162,-0.13753,-0.0591566,0.133893,-0.592114,-0.197757,0.148269,0.323338,0.247341,0.593727,0.101222,0.131185,0.0865387,-0.184045,0.149021,0.112877,0.540779,0.316275,-0.462584,-0.0274376,-0.0698014,-0.297388,0.473204,-0.294485,-0.532115,0.135541,-0.304049,0.00207497,0.487422,0.345964,0.574474,-0.32019,-0.159249,0.461416,0.0250663,0.0656821,-0.526748,0.118574,-0.387422,0.227918,-0.043151,-0.188444,-0.21814,-0.759611,0.223277,-0.450013,0.332087,0.00117018,-0.128808,-0.314707,0.326931,0.382195,-0.318473,0.134229,-0.0842274,0.623841,0.176471,-0.533969,0.122036,-0.233145,0.271874,-0.0442771,0.158178,0.0842685,0.428591,-0.123655,-0.0627103,0.337098,0.43414,-0.226841,-0.244907,-0.239575,-0.0685765,-0.187021,0.441373,-0.012024,0.0585273,0.124747,-0.11321,0.127298,-0.279988,-0.455653,0.0750922,-0.447855,-0.310295,0.695947,-0.00335664,0.153067,0.0737914,0.053219,0.0690031,-0.0846086,0.512693,-0.19812,0.46037,0.104653,0.423566,0.118228,0.0670774,0.497243,-0.522444,-0.208228,-0.0388624,-0.446716,-0.922876,-0.450746,-0.218582,-0.346563,-0.0728046,0.00486661,0.139761,0.330339,-0.154606,0.749954,0.321208,0.0812707,-0.25466,-0.182368,-0.657753,-0.0479074,0.282966,0.0532956,-0.422267,0.345637,-0.142079,0.428382,-0.0640997,0.102225,-0.427798,-0.451835,0.284026,0.175346,-0.0593575,-0.316759,-0.142599,1.01174,-0.127501,-0.416951,-0.511387,0.103764,0.285015,-0.0489037,-0.335153,0.141644,-0.0650317,-0.250766,0.364328,0.636759,0.293989,-0.142227,-0.16228,-0.142327,0.124622,0.0199242,-0.108563,0.207348,0.339764,0.055061,-0.290921,-0.210649,-0.256497,-0.624496,0.33237,0.239369,-0.00708506,-0.686056,
Article6,0.146753,0.139507,-0.0157839,0.18008,0.611269,-0.383242,0.541916,-0.0305986,-0.158217,-0.0748962,0.127766,-0.904968,0.342988,0.0123508,0.131695,0.280454,0.369558,0.0843019,-0.268431,-0.849447,-0.296241,0.132924,0.226224,0.091414,-0.531785,0.152624,-0.0627737,-0.134449,0.23523,-0.31757,0.0180186,0.155988,0.36405,-0.233012,0.618106,0.825206,0.0964533,0.278983,0.0199179,-0.327106,0.419799,0.0617345,-0.4785,0.0197117,-0.474956,-0.0825995,-0.21329,-0.209062,0.161874,0.195415,-0.0625486,0.357829,-1.01025,-0.462409,0.009255,-0.290846,-0.126597,-0.325645,-0.434499,0.0696931,-0.170053,-0.111184,0.413304,0.060827,0.147518,-0.198468,-0.158049,0.614942,-0.147479,-0.503602,-0.362413,0.742142,-0.131341,-0.283592,0.0769923,0.699335,0.0446822,-0.409789,-0.1877,0.730635,-0.0410265,-0.125932,-0.0359045,-0.487961,0.101667,-0.0753488,0.234259,0.990026,-0.492652,-0.406114,0.06142,0.649344,0.0865861,-0.416879,-0.415464,-0.086211,0.175677,0.000974473,0.213452,0.581374,-0.290877,-0.256821,0.036365,0.518923,-0.0983564,-0.155375,0.230448,0.237576,-0.482259,-0.558711,-0.337336,0.0641008,-0.438505,0.3446,-0.55488,-0.312029,-0.534126,-0.303807,0.241515,0.408713,0.0647644,-0.331954,0.257377,0.44101,-0.342546,-0.0477752,-0.163051,-0.0494538,0.624422,-0.31719,-0.407849,0.160473,0.053249,0.314467,-0.187035,-0.0268638,-0.499104,-0.145126,-0.281426,-0.635387,-0.36627,0.33119,0.51995,0.217123,-0.0141767,0.3586,-0.376769,0.367269,-0.107038,0.427963,-0.296992,0.630663,-0.196756,0.265662,0.414685,0.713465,-0.359185,0.059276,0.77198,0.467899,-0.813852,-0.436554,-0.150684,-0.380959,0.214116,0.0782606,-0.333974,0.27892,0.206144,0.681185,0.335679,-0.22623,0.441397,-0.613741,0.124003,-0.696787,-0.154375,-0.0309571,0.186462,-0.19082,0.592738,-0.669033,0.263842,0.0815272,-0.00706252,-0.33302,0.359156,-0.183363,0.922032,-0.461221,0.448158,0.598795,-0.332303,0.0308703,-0.482809,0.366318,0.791373,-0.53854,-0.159381,-0.834129,
Article7,0.475114,0.174391,-0.0127921,0.207014,0.812255,-0.551753,0.981446,-0.020327,-0.0810874,0.0651248,0.0597411,-0.985118,0.222969,0.0421837,0.0533463,0.326906,0.19475,0.20768,-0.614163,-0.887167,-0.185898,0.462135,0.567052,0.0787735,-0.480859,0.415992,0.0538454,-0.0329628,0.246183,-0.188721,0.205337,0.188421,-0.134118,-0.0480643,0.309832,0.910444,0.268741,-0.0243737,-0.158413,0.117909,0.527672,0.0888782,-0.130544,0.354509,-0.322198,0.115469,-0.0566086,0.139537,0.567301,0.25817,-0.0175947,0.824646,-1.04585,-0.489652,-0.149641,-0.50175,0.0191458,-0.358618,-0.646169,0.120591,-0.122123,-0.198835,0.348218,0.00572343,0.696445,-0.226575,-0.103078,0.62584,-0.317979,-0.510241,-0.616565,1.03065,-0.256574,-0.29218,0.223028,0.775061,0.0281501,-0.869704,-0.456519,0.436433,0.0746843,-0.0160907,-0.0175204,-0.560725,-0.0197582,-0.409967,0.349409,0.865402,-0.253027,-0.413667,-0.109199,0.474709,0.375013,-0.561193,-0.354321,-0.363533,0.422468,0.0560581,0.595149,0.475367,0.0438577,-0.265909,0.0482319,0.650226,-0.254009,-0.257047,0.387673,0.215854,-0.563532,-0.544732,-0.48027,0.0247177,-0.344123,0.0303389,-0.670079,-0.188392,-0.726688,-0.538519,0.16884,0.618207,0.238662,-0.43795,0.423916,0.233996,-0.688989,0.0614325,0.00820436,0.0356171,0.921584,-0.116702,-0.354217,0.0710899,0.139267,0.366813,-0.119092,0.196973,-0.463974,-0.226428,-0.345201,-0.651703,-0.291267,0.372574,0.350083,0.0493301,0.0530905,0.541027,-0.208593,0.328892,-0.107417,0.462457,-0.670028,0.393071,-0.346336,0.307631,0.547769,0.519412,-0.51064,0.508487,0.743732,0.205065,-0.642955,-0.580472,0.128245,-0.461045,0.0133666,0.187156,-0.193413,0.0868047,0.232196,0.534225,0.0906019,-0.066824,0.317281,-0.388537,-0.0187672,-0.784421,-0.112358,-0.0446568,0.12986,-0.356827,0.731227,-0.566786,-0.0584496,0.0840792,-0.197392,0.0969421,0.0814879,-0.512492,0.73458,-0.271597,0.545691,0.742966,-0.406806,-0.149619,-0.337683,0.226489,0.608532,-0.715759,-0.164022,-0.86302,
Article8,0.195728,0.294247,-0.640513,0.141169,0.0484193,-0.0746698,-0.0733325,-0.520652,-0.336326,-0.245081,-0.695883,0.0300065,0.290589,0.0826041,-0.0851277,-0.123249,0.585295,-0.371415,0.628075,-1.39439,-0.101876,0.0125708,-0.135199,0.209183,0.156445,-0.301887,-0.156285,-0.370732,0.638666,-0.752694,-0.06555,-0.314373,0.68643,-0.308866,0.1418,0.106159,-0.805861,0.350323,0.0578218,-0.0209947,0.209816,0.0380476,-0.827359,-0.0949841,-0.499639,-0.0146064,0.00669609,-0.783168,-0.44179,-0.392392,0.0264022,0.263309,0.0512519,-0.0480628,0.443821,-0.372703,0.057844,-0.304165,0.121202,-0.202654,-0.731859,0.716161,0.244552,0.0622786,0.387842,-0.182575,0.0502216,0.84751,0.0417926,-0.0478409,-0.243294,0.399093,-0.419105,-0.379049,-0.137106,-0.263624,-0.12458,-0.185056,0.500979,0.772433,0.350171,-0.0754367,0.118134,0.116072,0.45331,0.390261,0.0589585,0.968116,0.34955,0.470934,-0.187111,1.10062,0.0875134,0.509055,0.216988,0.578811,0.430676,0.29517,-0.477107,0.344862,-1.05006,0.7527,1.02256,0.104175,0.0622426,-0.153311,0.343304,0.130096,-0.328043,0.293922,-0.971859,0.287207,-0.284833,-0.272408,0.345726,-0.147653,-0.869495,-0.177563,-0.0748671,-0.447542,-0.280851,0.24553,-0.116741,0.341034,-0.700673,0.138182,0.74093,0.279911,0.889256,-0.3985,-0.208121,-0.336379,-0.177662,0.508791,-0.849334,-0.204282,-0.240784,0.606641,-0.637043,-0.285091,-0.200838,0.150217,0.425476,0.30255,0.159364,0.00507991,-0.00805829,0.59349,0.026166,-0.0312275,0.18134,0.598612,-0.256617,0.487569,-0.475083,1.12318,-0.599038,-0.0978954,-0.559506,0.237661,-0.334861,-0.0996309,-0.268495,-0.200887,-0.14402,0.211953,-0.0914342,-0.0510127,0.934692,1.06345,0.280715,-0.689816,0.221477,-0.594821,0.0947958,0.0718351,-0.215683,0.0573294,0.292197,0.139552,-0.0251328,-0.222242,0.150588,0.417732,-0.349817,0.18761,0.13073,-0.28879,0.149795,0.309751,0.447625,-0.310076,-0.11549,-0.0068078,0.142223,0.71231,0.0298808,-0.27341,-0.217479,-0.36959,
Article9,0.726967,0.0643564,0.315353,0.19098,-0.547547,0.521932,-0.0528935,-0.0675516,-0.224076,-0.282296,0.485701,-0.855994,0.709151,0.0464961,0.263936,0.236249,0.394253,-0.0259757,-0.0218324,-0.55994,-0.0416362,0.178345,0.0636213,-0.661396,-0.123595,-0.190583,-0.357388,0.188959,0.260873,-0.560942,0.34346,-0.180108,0.30645,-0.811599,0.0216345,0.636404,0.0179417,0.358572,0.794724,-0.783644,0.337979,-0.0815831,-0.910071,0.0275779,-0.550861,-0.752865,-0.091838,-0.424391,-0.60009,-0.440263,0.219589,-0.393049,-0.827214,-0.24473,0.466131,-0.0571733,0.0212261,0.0168515,-0.51688,-0.359817,-0.543819,0.0301248,-0.252939,-0.497038,0.142544,-0.372922,0.102911,0.858532,-0.0141834,-0.39156,-0.249016,0.616795,-0.55018,0.034414,0.34723,0.467788,0.326767,-0.295232,0.577653,0.736935,0.0331693,-0.381298,-0.134521,-0.236692,0.142531,-0.574439,0.13017,0.907124,-0.0115688,-0.176001,0.344988,1.05349,0.304624,-0.083122,-0.144279,0.645654,0.808761,0.652474,0.0048399,0.42303,-0.327505,-0.0947552,0.0154548,0.353451,0.217849,0.0675607,0.107168,0.102909,-0.5368,-0.225578,-1.2692,0.145232,0.0861068,-0.167993,-0.396582,-0.0444718,-1.42113,-0.0628933,0.0795645,-0.151172,0.220822,0.109575,0.157013,0.326707,-0.406569,0.561965,0.329358,0.324176,0.429247,-0.217018,-0.0375913,0.269638,-0.15853,-0.082592,-0.447743,-0.402555,-0.0202107,0.392895,-0.236773,-0.475281,-0.222825,0.300791,0.185825,0.169038,0.618108,0.069797,-0.599599,0.443813,0.111684,0.304516,-0.585263,0.572035,0.0827058,0.746665,0.285138,1.55396,0.0337038,-0.305013,0.63316,0.570073,-0.064253,-0.623629,0.0939236,-0.345059,0.418379,-0.102912,0.0982655,0.325888,0.307431,-0.273589,0.438626,-0.306633,0.329662,-0.931347,0.770001,-0.958979,0.163141,0.606845,-0.459054,-0.225627,0.220814,-0.559672,0.953633,0.240817,-0.168053,-0.325423,0.972363,-0.372173,-0.0986513,-0.22508,0.193385,0.0613098,-0.302135,0.51284,-0.281813,0.875211,0.366237,-0.186774,-0.260807,-0.550532,
