ArticleID,Dimension0,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6,Dimension7,Dimension8,Dimension9,Dimension10,Dimension11,Dimension12,Dimension13,Dimension14,Dimension15,Dimension16,Dimension17,Dimension18,Dimension19,Dimension20,Dimension21,Dimension22,Dimension23,Dimension24,Dimension25,Dimension26,Dimension27,Dimension28,Dimension29,Dimension30,Dimension31,Dimension32,Dimension33,Dimension34,Dimension35,Dimension36,Dimension37,Dimension38,Dimension39,Dimension40,Dimension41,Dimension42,Dimension43,Dimension44,Dimension45,Dimension46,Dimension47,Dimension48,Dimension49,Dimension50,Dimension51,Dimension52,Dimension53,Dimension54,Dimension55,Dimension56,Dimension57,Dimension58,Dimension59,Dimension60,Dimension61,Dimension62,Dimension63,Dimension64,Dimension65,Dimension66,Dimension67,Dimension68,Dimension69,Dimension70,Dimension71,Dimension72,Dimension73,Dimension74,Dimension75,Dimension76,Dimension77,Dimension78,Dimension79,Dimension80,Dimension81,Dimension82,Dimension83,Dimension84,Dimension85,Dimension86,Dimension87,Dimension88,Dimension89,Dimension90,Dimension91,Dimension92,Dimension93,Dimension94,Dimension95,Dimension96,Dimension97,Dimension98,Dimension99,Dimension100,Dimension101,Dimension102,Dimension103,Dimension104,Dimension105,Dimension106,Dimension107,Dimension108,Dimension109,Dimension110,Dimension111,Dimension112,Dimension113,Dimension114,Dimension115,Dimension116,Dimension117,Dimension118,Dimension119,Dimension120,Dimension121,Dimension122,Dimension123,Dimension124,Dimension125,Dimension126,Dimension127,Dimension128,Dimension129,Dimension130,Dimension131,Dimension132,Dimension133,Dimension134,Dimension135,Dimension136,Dimension137,Dimension138,Dimension139,Dimension140,Dimension141,Dimension142,Dimension143,Dimension144,Dimension145,Dimension146,Dimension147,Dimension148,Dimension149,Dimension150,Dimension151,Dimension152,Dimension153,Dimension154,Dimension155,Dimension156,Dimension157,Dimension158,Dimension159,Dimension160,Dimension161,Dimension162,Dimension163,Dimension164,Dimension165,Dimension166,Dimension167,Dimension168,Dimension169,Dimension170,Dimension171,Dimension172,Dimension173,Dimension174,Dimension175,Dimension176,Dimension177,Dimension178,Dimension179,Dimension180,Dimension181,Dimension182,Dimension183,Dimension184,Dimension185,Dimension186,Dimension187,Dimension188,Dimension189,Dimension190,Dimension191,Dimension192,Dimension193,Dimension194,Dimension195,Dimension196,Dimension197,Dimension198,Dimension199,
Article0,0.0647383,-0.0307588,-0.0146652,-0.0350636,0.0281519,-0.0169536,0.0412279,-0.0465817,0.0153907,0.00369976,0.156713,-0.151171,0.0515215,0.0484018,0.0305177,-0.00873414,-0.0682615,-0.0520276,-0.0627553,-0.0129917,-0.0256546,0.0590127,0.0360968,-0.0410877,-0.115862,0.0562614,-0.0521539,0.0446297,0.011848,-0.126949,0.00604113,-0.0701756,0.00176487,-0.122543,0.0264288,0.170243,0.0382565,-0.0127321,0.115242,-0.148765,-0.0789884,0.0196008,-0.195741,0.02323,0.0152101,-0.0776242,0.0910631,0.00163165,-0.0351774,-0.0593094,-0.00828841,0.0136076,-0.164471,-0.00633678,0.0376051,-0.0112811,-0.0197713,-0.138704,-0.090799,0.0118652,-0.0347037,-0.0589911,-0.123826,-0.0434938,0.0290236,-0.109018,-0.0801838,0.0970864,0.0215007,-0.0724793,-0.0541122,0.0896023,-0.0102733,0.000768457,0.013352,0.0207264,0.0746754,-0.0183027,-0.0366109,0.172089,-0.00177258,0.0215617,-0.0295107,-0.048922,0.0321917,0.0845383,-0.0875573,0.0675288,-0.0271307,-0.0312111,-0.0118849,0.0799795,0.0323126,0.0109488,-0.0490935,0.0529942,-0.0165675,0.0531271,0.00970642,0.0715908,-0.0201577,0.0236673,-0.0765787,0.0481995,0.0373204,-0.0749505,0.0147284,0.0276159,-0.0457492,6.70862e-05,-0.202955,0.0671466,0.0770634,-0.01827,-0.133282,-0.124376,-0.129801,-0.013849,0.0341286,0.149935,-0.018996,0.0142592,0.00755369,0.161937,-0.0862156,0.139645,0.0570265,0.0708017,0.158157,-0.0465988,-0.101745,0.136377,0.014921,0.0132814,-0.00725641,-0.0758888,-0.0411578,-0.0829133,-0.026514,0.104917,-0.00611997,0.0441789,0.0580678,0.00412282,0.118877,-0.0525464,-0.105821,0.045545,-0.0218526,0.0160209,-0.0642005,0.0622697,-0.0275367,-0.0170364,-0.0373002,0.174653,-0.0215994,-0.0466097,0.0585078,0.0543395,-0.0348938,-0.0378258,-0.072246,-0.0910206,0.0060811,0.0642983,0.0573107,0.135221,0.0171643,-0.0135653,-0.0405478,0.0619088,0.0766032,-0.0146649,0.0602458,-0.106912,-0.00465287,0.0834443,0.0149452,0.0102423,0.0611282,-0.0554276,0.0843933,0.0943701,0.00881947,-0.0448753,0.111932,-0.0532199,-0.0273354,-0.0320234,-0.010713,0.0323708,-0.0396381,0.0629154,-0.0101397,0.122141,0.0421074,-0.0154157,0.00428674,-0.0167062,
Article1,0.252342,0.0556962,0.115846,0.0602091,0.0189578,0.116437,0.04583,-0.114221,0.0181511,-0.00592107,0.0622591,-0.0360299,-0.0497905,0.00249051,-0.0572484,-0.00642057,-0.0465083,-0.113264,-0.118461,0.0251375,-0.0723447,-0.0326859,-0.00192291,0.0886429,0.0397283,0.0930607,-0.113486,-0.0114286,-0.0410736,0.0763796,-0.0883962,-0.022935,-0.068501,-0.0612532,0.0649215,-0.0661975,0.0328432,-0.0261504,-0.0250666,-0.139823,-0.0794497,0.0493773,-0.0560168,0.0304484,-0.0440779,-0.0616185,-0.0188876,0.032777,0.0354962,-0.0139772,0.073756,0.0512156,-0.109397,-0.0344074,-0.0503888,0.0343814,0.102053,-0.109249,-0.0630657,-0.061273,-0.000129395,-0.0461822,-0.0323165,-0.00738707,0.0303973,-0.112374,-0.0757067,-0.00721287,0.0251737,-0.00957971,0.0435012,-0.0251702,0.0509735,-0.036943,0.0462085,0.0810966,-0.0217001,-0.00264955,-0.0127449,0.0488413,0.00574977,-0.11244,-0.035543,-0.129496,-0.00108535,0.0976825,-0.0198699,-0.0558197,-0.0168642,0.0400712,0.0386271,0.0122786,0.02485,-0.0319736,-0.091317,-0.191134,0.00759897,0.000393006,0.0419105,-0.0379624,-0.0781952,0.0271492,-0.0348748,0.0285829,0.0362451,0.0368523,0.0507809,0.026206,-0.0138677,-0.0595315,-0.130949,-0.0238158,0.00477758,-0.0094238,-0.180265,-0.125189,-0.0477642,0.0917746,0.0263935,0.162381,0.00221861,-0.0554193,-0.0848901,0.0884955,-0.088753,0.0973959,0.0569991,-0.0281013,0.120207,-0.150056,0.0357422,0.116848,0.0590276,0.0919234,0.0299781,-0.0891431,0.0384377,0.0528467,-0.122316,-0.102345,-0.0293804,0.0272596,-0.0117514,0.0101494,0.145075,0.0616719,-0.0754312,0.0140368,0.042448,0.0341493,-0.145034,0.079679,-0.0309898,-0.00712817,0.0501805,0.00464014,0.0336814,-0.0466725,0.00102875,0.0517332,-0.0170322,-0.0202894,-0.0377712,-0.0401811,0.130807,-0.0622405,-0.0189994,0.0143195,-0.0875479,0.0403912,-0.0783021,0.0348457,0.05916,-0.00015824,0.0202003,0.0636787,-0.0556106,-0.0281024,-0.0139828,-0.152984,0.0178327,-0.0113064,0.0805686,-0.0812725,-0.0599847,-0.0768544,-0.0814432,-0.0650418,0.0272993,-0.114146,-0.0360522,0.0161216,0.00665273,0.169548,-0.118905,0.0709036,0.130212,0.0989224,0.00589164,0.0276533,
Article2,0.155595,0.0790478,0.0213815,0.0692651,0.0637259,-0.000218268,0.0306918,-0.0590677,0.109745,-0.0153595,-0.0242358,0.015044,-0.0895233,0.0642308,0.0048249,0.0299276,-0.0354037,-0.0123819,-0.0785334,-0.00416532,-0.042501,0.0790516,0.0975764,0.0599582,-0.0207163,0.214683,-0.0357965,-0.0381167,-0.118386,0.0692144,-0.0994775,0.0451566,0.00945858,-0.111251,-0.0501162,0.0617487,-0.0443171,-0.0563384,-0.0579026,-0.0538673,-0.167258,0.0928523,-0.120293,0.0446686,-0.0953406,-0.0833439,-0.0603509,-0.0111643,0.0945844,-0.0688395,0.12867,0.137849,-0.112927,-0.0133037,0.0375125,-0.0565095,0.0794903,-0.0305896,-0.150813,-0.0551003,0.0691135,0.029616,0.0788216,0.00941944,0.0445662,-0.0864771,0.0146174,0.061937,-0.0113824,-0.0274317,0.0389351,0.0502583,0.0951334,-0.0281119,0.0547263,-0.0156751,-0.0755571,-0.0438561,-0.128045,0.0608306,0.0769335,-0.0574379,0.036218,-0.0698908,-0.0409843,-0.0408613,0.0666273,-0.033952,0.0546973,0.0018066,-0.100789,-0.00997716,0.0282745,0.0387295,-0.0594141,-0.0361483,0.0122927,-0.0574571,0.00221922,-0.115473,-0.104226,0.0121756,0.0450466,-0.0353939,-0.00179592,0.00230685,-0.0469307,-0.105839,0.0113632,0.000969019,-0.0507175,-0.0123381,0.0534908,-0.0489647,-0.0861365,-0.0210617,0.0149738,0.039846,0.0165618,0.102994,0.000278142,0.0514779,-0.0654263,0.0709748,-0.0495776,0.113436,-0.0421749,0.0265215,0.133377,0.0170611,-0.0183127,0.010362,0.0515122,0.0156884,0.0988709,0.0514487,-0.0362204,-0.0715099,0.0753537,0.0451788,-0.0335906,0.11372,0.117704,-0.0262517,0.0818262,-0.0459677,-0.0547147,0.11792,-0.00901724,-0.0191734,-0.161935,0.0526702,0.00594968,-0.00718603,0.0936344,0.0362933,-0.0905976,0.123396,0.0853589,0.0728876,-0.0798972,0.0112052,-0.158934,-0.036612,0.125969,-0.116998,0.0619399,0.0902777,-0.0499484,0.199602,-0.00806784,0.0185982,0.126383,-0.0258167,0.089029,0.0453571,-0.121971,0.0502203,0.0711531,-0.0797894,0.0428276,-0.0739167,0.0269848,0.0729753,-0.0547067,-0.0276298,-0.0949872,-0.0164517,-0.00404054,-0.0275745,-0.0197434,0.00787314,-0.0106184,-0.0924398,0.0224348,0.0652103,0.0803409,0.0284253,-0.000294415,-0.0054334,
Article3,-0.0213108,-0.0103933,-0.0630626,0.021288,0.0403601,-0.0112806,-0.0555143,-0.00179408,0.0508245,-0.0509295,0.000943734,-0.00657247,-0.0928463,0.0559029,0.0866773,-0.065534,-0.0813799,-0.105721,0.0517858,0.0283999,-0.0314917,-0.0643977,-0.0180833,-0.0115496,0.00635293,0.099565,-0.0432482,-0.00602992,0.0867035,-0.0136364,-0.0162195,-0.0683331,0.0912925,0.0563062,-0.0207056,0.0875383,0.0715974,0.0272599,0.0295175,-0.210596,-0.186051,-0.120635,-0.100505,0.0311293,-0.0400031,-0.0901211,-0.0377164,-0.0728059,0.0553954,0.0652773,-0.0249545,-0.0281364,0.035276,-0.00105723,-0.0237541,-0.00816924,-0.0344445,0.0869559,-0.109721,-0.0704025,-0.0478149,-0.028401,-0.00326828,0.0819952,-0.0279112,-0.0536263,-0.0257929,0.00896891,0.0623731,-0.0679558,-0.0147248,0.0620858,-0.0104792,0.00737673,-0.0067985,0.0176338,0.106343,0.124675,0.105071,0.0609789,0.0259388,-0.003606,0.067672,0.057672,0.0802846,0.00886061,-0.122996,0.0446248,0.0619678,0.0264174,0.0413118,-0.110629,0.0831854,0.115812,-0.0852314,0.193292,-0.0798438,0.124878,0.0497501,-0.0967506,-0.0966761,0.0801858,0.000146459,-0.142533,0.15563,-0.0150492,-0.0566002,0.0548831,0.134136,-0.0290938,-0.0831484,-0.0150731,0.0187544,-0.149548,0.0879457,-0.0338772,-0.117052,0.0297929,-0.106251,0.0422067,0.0266617,0.0945861,0.0165304,0.097202,-0.0826382,0.0897405,-0.0230985,0.0275553,0.0757425,-0.0380065,-0.108942,0.000714611,-0.067154,-0.0331952,-0.0536913,-0.003832,0.0353438,-0.136077,0.0157486,0.0767082,0.0539827,-0.0282541,0.0194878,-0.0234518,0.00716573,-0.132846,0.0497803,0.0226795,0.103319,-0.0312248,0.0651362,-0.140726,0.0106409,0.0213301,0.0551402,0.027808,0.066618,0.0092133,-0.0924757,0.0971239,-0.0742506,0.0227048,-0.169395,-0.161891,0.0556679,-0.0165205,0.120631,0.117167,-0.066298,0.0026159,-0.0733243,-0.0355548,0.0116116,0.034686,0.0642808,0.0534228,0.0223866,-0.0243497,-0.0115893,-0.0354195,0.018291,0.0312087,0.0872135,-0.0136169,0.016578,-0.0579932,0.0198417,0.028525,-0.122603,-0.0502088,-0.0366533,-0.0604472,-0.0423769,0.0127181,0.0798811,0.0308221,0.0586869,0.11027,0.0475451,-0.0291143,
Article4,0.047579,0.0166325,-0.00497858,0.0535507,0.0568537,-0.022571,-0.083388,-0.0393439,0.137677,-0.00285043,0.167583,-0.0289186,-0.114647,0.0246487,0.0867349,0.0760369,-0.0856403,-0.0274018,0.014809,-0.0560247,-0.115417,0.0881053,0.0703091,0.0709726,-0.122096,0.118136,-0.111866,-0.0738694,0.0322658,0.0457969,-0.000740423,0.0910665,0.0137873,-0.132067,0.0877666,0.122444,0.0100738,-0.014648,-0.00700709,-0.027787,-0.0948685,-0.00112395,-0.107581,-0.00173191,-0.053704,-0.0593814,0.0658289,0.0393571,0.0136464,0.0751534,-0.0235057,0.0523049,-0.103815,0.120307,-0.00906309,-0.00242465,0.0303165,-0.028078,-0.0297042,-0.0233942,-0.0208013,-0.00910153,-0.010408,-0.060671,-0.00171097,-0.0943631,0.00906704,0.0026297,0.0636442,0.0211044,0.0105231,-0.0339154,-0.0210937,0.0234307,-0.0568696,-0.0229347,0.0486216,-0.0201269,-0.0819175,0.0875184,0.108324,-0.0463575,0.058909,-0.0855393,-0.0387128,-0.0444957,-0.0159282,0.0373457,0.0469441,0.00985083,-0.0915928,-0.0860289,0.0986953,0.0328521,-0.011725,0.0514584,0.0341296,0.0915785,0.06205,-0.145778,-0.0766141,0.0906246,-0.0192167,-0.0139829,0.0769823,-0.0208301,-0.0996168,-0.0337789,-0.00167382,-0.0415412,-0.0628231,-0.0404056,-0.0259791,-0.158964,-0.0213234,-0.0697307,-0.0983803,0.0311815,-0.0316079,0.140193,0.183392,-0.0604915,0.00342293,0.0727571,-0.0820417,0.154981,-0.0881656,0.109716,0.159972,0.0638476,-0.0621928,0.0184955,0.0328383,0.0217429,-0.0451462,-0.0478373,-0.0252363,-0.1178,-0.0853399,-0.0153638,-0.0652576,0.011017,0.0234215,-0.06592,0.0591727,0.0589221,-0.130287,0.09077,0.0243042,0.00934863,-0.0572426,0.0366908,0.0467655,0.105916,0.0720241,0.0188415,-0.0254656,-0.0190831,-0.045078,0.00350722,-0.0663231,-0.0741098,-0.142095,-0.0643487,0.0805924,-0.0350526,0.160154,0.164247,-0.0201981,0.0166947,-0.0721611,0.0268137,0.0756631,-0.0545165,-0.022709,-0.0266828,-0.0312629,-0.0354827,0.125369,-0.133832,0.127089,0.00145242,0.145409,0.105064,0.0401932,-0.0763829,0.0111655,0.0148018,-0.036779,-0.0510093,-0.0419425,-0.0583909,-0.0735309,-0.0259276,0.0561322,-0.0333118,0.0929023,0.0133901,0.0191295,0.0132892,
Article5,0.130468,0.0926538,-0.0773578,-0.0318693,0.139144,0.012769,0.0674832,-0.115173,0.0804655,0.107278,0.0405914,-0.0116425,-0.120772,-0.117568,0.0469697,0.0592997,-0.0655845,-0.131497,-0.0537498,-0.0828165,-0.117186,-0.00955029,-0.0335986,0.179946,-0.0163023,0.104166,0.0935331,0.00931934,0.0880106,-0.000841537,-0.0179917,0.109056,-0.0428716,0.049794,0.163363,-0.0279041,-0.0120026,0.0271662,-0.120137,-0.040124,0.0300831,0.0656036,0.0501842,0.120464,0.0205374,0.0266169,0.0175583,-0.0373419,0.0302357,0.0229021,0.109721,0.0641705,-0.0938559,-0.00556694,-0.0141624,-0.0603385,0.0960108,-0.0597494,-0.107964,0.0275007,-0.0616899,0.000421,0.0988955,0.0701943,0.116558,-0.064965,-0.0323109,0.093619,0.00508582,0.0133266,-0.106874,0.024058,-0.078606,0.0462433,-0.00875512,-0.0382343,-0.0442595,-0.154121,0.0453019,-0.0913054,0.0673787,0.000237423,-0.0261346,-0.0638526,0.0663327,0.0775454,-0.0646166,0.0272344,-0.0170893,0.126574,0.0358052,-0.10834,0.0247605,-0.047304,0.055162,-0.00898361,0.0320934,0.0170977,0.0869589,-0.025089,-0.0127236,0.0683956,0.0880849,-0.046025,-0.0496904,-0.0486085,-0.0139138,-0.0379456,0.0895523,-0.00243961,0.0118749,0.0253106,-0.0229697,0.0258281,-0.0568082,-0.0924497,0.0152358,-0.0908676,-0.0629573,0.141204,-0.000681045,0.0310566,0.0149719,0.0107979,0.0140004,-0.0171667,0.104023,-0.0401976,0.0934068,0.0212336,0.0859395,0.0239878,0.0136097,0.100888,-0.106001,-0.0422484,-0.00788499,-0.0906365,-0.187247,-0.0914542,-0.0443492,-0.0703158,-0.0147717,0.000987411,0.0283568,0.0670241,-0.0313687,0.152162,0.0651716,0.0164894,-0.0516692,-0.0370015,-0.133455,-0.00972018,0.0574124,0.0108134,-0.0856759,0.070128,-0.0288272,0.0869166,-0.0130055,0.0207409,-0.086798,-0.091675,0.0576275,0.0355768,-0.0120433,-0.0642689,-0.0289326,0.205278,-0.0258693,-0.0845973,-0.103758,0.0210531,0.0578282,-0.00992232,-0.0680008,0.0287388,-0.0131946,-0.0508792,0.0739203,0.129195,0.059649,-0.0288571,-0.0329258,-0.0288774,0.0252851,0.00404252,-0.0220269,0.0420698,0.0689363,0.0111716,-0.0590263,-0.0427397,-0.0520419,-0.126707,0.0674362,0.0485668,-0.00143752,-0.139197,
Article6,0.0270246,0.0256902,-0.00290661,0.0331617,0.112565,-0.0705741,0.0997938,-0.00563472,-0.0291356,-0.0137921,0.0235281,-0.16665,0.0631611,0.00227439,0.0242516,0.0516455,0.0680541,0.0155242,-0.0494315,-0.156426,-0.0545528,0.024478,0.0416591,0.0168339,-0.0979281,0.0281058,-0.0115598,-0.0247588,0.0433176,-0.0584805,0.00331813,0.0287252,0.0670397,-0.0429091,0.113824,0.151962,0.0177619,0.0513747,0.00366789,-0.0602364,0.0773059,0.0113684,-0.0881157,0.0036299,-0.0874631,-0.0152107,-0.0392774,-0.0384988,0.0298091,0.0359856,-0.0115183,0.0658941,-0.186037,-0.0851526,0.00170431,-0.0535593,-0.0233129,-0.0599674,-0.0800129,0.012834,-0.0313153,-0.0204746,0.0761098,0.0112013,0.0271655,-0.0365479,-0.0291047,0.113242,-0.0271583,-0.0927382,-0.0667382,0.136665,-0.0241864,-0.0522235,0.0141781,0.128782,0.00822823,-0.0754627,-0.0345649,0.134546,-0.00755503,-0.0231903,-0.00661181,-0.0898579,0.018722,-0.0138755,0.0431387,0.182313,-0.0907218,-0.0747859,0.0113105,0.119577,0.0159448,-0.0767682,-0.0765076,-0.0158758,0.032351,0.000179449,0.0393071,0.10706,-0.0535649,-0.0472935,0.00669662,0.0955597,-0.0181123,-0.0286122,0.042437,0.0437496,-0.088808,-0.102887,-0.0621204,0.0118042,-0.0807506,0.063458,-0.102181,-0.0574601,-0.0983592,-0.0559461,0.044475,0.0752645,0.0119264,-0.0611293,0.0473959,0.0812119,-0.0630798,-0.0087978,-0.0300259,-0.0091069,0.114987,-0.0584105,-0.0751054,0.029551,0.00980579,0.0579091,-0.0344426,-0.00494696,-0.0919099,-0.0267249,-0.0518246,-0.117006,-0.0674485,0.0609886,0.0957486,0.0399831,-0.00261063,0.0660361,-0.0693819,0.0676325,-0.019711,0.0788094,-0.0546911,0.116136,-0.0362326,0.0489217,0.0763642,0.131384,-0.0661438,0.0109157,0.14216,0.0861635,-0.149871,-0.0803914,-0.0277484,-0.0701536,0.0394295,0.0144117,-0.0615012,0.0513631,0.0379613,0.12544,0.0618153,-0.0416602,0.0812832,-0.11302,0.0228352,-0.128313,-0.0284282,-0.00570075,0.034337,-0.0351394,0.109153,-0.123202,0.0485865,0.0150132,-0.00130056,-0.0613256,0.0661385,-0.0337662,0.169792,-0.0849338,0.0825282,0.110268,-0.0611935,0.00568476,-0.0889093,0.0674574,0.145731,-0.0991721,-0.0293499,-0.153605,
Article7,0.0792775,0.0290989,-0.00213449,0.0345423,0.135533,-0.0920655,0.163764,-0.00339177,-0.0135302,0.0108667,0.0099684,-0.164377,0.0372047,0.00703878,0.00890136,0.0545475,0.032496,0.0346534,-0.102479,-0.148033,-0.0310189,0.0771118,0.0946184,0.0131442,-0.0802361,0.0694125,0.00898465,-0.00550018,0.0410782,-0.03149,0.0342625,0.03144,-0.0223789,-0.00802002,0.0516987,0.151917,0.0448422,-0.004067,-0.0264328,0.0196743,0.0880474,0.0148302,-0.0217826,0.0591534,-0.053762,0.0192672,-0.00944572,0.0232831,0.0946599,0.0430783,-0.00293585,0.1376,-0.174511,-0.0817034,-0.0249691,-0.0837221,0.00319467,-0.059839,-0.10782,0.0201217,-0.0203775,-0.0331776,0.0581037,0.000955013,0.116209,-0.0378063,-0.0171997,0.104428,-0.0530581,-0.0851389,-0.10288,0.171974,-0.042812,-0.0487532,0.0372145,0.129327,0.00469713,-0.145119,-0.0761748,0.0728232,0.0124618,-0.0026849,-0.00292345,-0.0935626,-0.00329686,-0.0684072,0.0583023,0.144401,-0.04222,-0.0690246,-0.0182209,0.0792099,0.0625746,-0.0936408,-0.059122,-0.0606591,0.0704931,0.00935386,0.0993067,0.0793198,0.00731811,-0.0443697,0.00804797,0.108497,-0.042384,-0.0428909,0.0646872,0.0360175,-0.094031,-0.090894,-0.0801379,0.0041244,-0.0574204,0.00506235,-0.111809,-0.031435,-0.121255,-0.0898574,0.0281726,0.103154,0.0398232,-0.0730764,0.0707347,0.0390446,-0.114965,0.0102506,0.00136898,0.00594307,0.153776,-0.0194729,-0.0591047,0.0118621,0.0232382,0.0612064,-0.0198718,0.032867,-0.0774187,-0.0377818,-0.0576003,-0.108743,-0.0486009,0.0621678,0.0584148,0.00823122,0.00885869,0.0902758,-0.0348058,0.0548789,-0.0179235,0.0771656,-0.111801,0.0655879,-0.0577897,0.0513313,0.0914007,0.0866691,-0.0852054,0.0848461,0.124099,0.0342171,-0.107284,-0.0968576,0.0213989,-0.0769301,0.00223035,0.0312288,-0.0322729,0.0144842,0.0387443,0.0891408,0.0151178,-0.0111503,0.0529415,-0.0648314,-0.00313149,-0.130889,-0.018748,-0.00745144,0.0216684,-0.0595401,0.122013,-0.0945739,-0.0097529,0.0140295,-0.0329368,0.0161758,0.0135971,-0.0855145,0.122572,-0.0453187,0.0910541,0.123971,-0.0678798,-0.0249654,-0.0563458,0.037792,0.10154,-0.119432,-0.0273687,-0.144004,
Article8,0.0324957,0.0488524,-0.106341,0.0234376,0.00803882,-0.0123971,-0.012175,-0.0864413,-0.0558386,-0.0406896,-0.115534,0.00498182,0.048245,0.0137144,-0.0141333,-0.0204624,0.0971737,-0.0616642,0.104276,-0.231503,-0.016914,0.00208706,-0.0224465,0.0347296,0.0259737,-0.0501208,-0.0259472,-0.0615509,0.106035,-0.124966,-0.0108829,-0.0521938,0.113965,-0.0512795,0.0235423,0.017625,-0.133793,0.0581625,0.00959987,-0.00348564,0.0348347,0.00631686,-0.137362,-0.0157697,-0.0829526,-0.00242502,0.00111172,-0.130026,-0.0733482,-0.0651469,0.00438342,0.0437159,0.0085091,-0.00797964,0.0736855,-0.061878,0.00960356,-0.050499,0.0201225,-0.0336456,-0.121507,0.118901,0.0406018,0.0103398,0.0643915,-0.0303121,0.00833804,0.140708,0.00693862,-0.00794278,-0.0403929,0.0662594,-0.0695819,-0.0629316,-0.0227631,-0.0437683,-0.0206834,-0.0307239,0.0831751,0.128243,0.0581371,-0.0125244,0.0196132,0.0192708,0.0752608,0.064793,0.0097886,0.160732,0.0580341,0.0781868,-0.031065,0.18273,0.0145294,0.0845158,0.0360254,0.0960971,0.071503,0.0490056,-0.0792117,0.0572557,-0.174337,0.124967,0.169771,0.0172957,0.0103338,-0.0254535,0.0569971,0.0215992,-0.0544634,0.0487984,-0.161353,0.0476835,-0.0472895,-0.0452266,0.0573992,-0.0245141,-0.144358,-0.0294799,-0.0124298,-0.0743032,-0.0466283,0.0407642,-0.0193819,0.0566201,-0.116329,0.0229417,0.123013,0.0464723,0.147639,-0.066161,-0.0345534,-0.0558474,-0.0294963,0.084472,-0.141011,-0.0339159,-0.0399762,0.100718,-0.105765,-0.0473323,-0.0333441,0.0249398,0.0706397,0.050231,0.0264584,0.000843392,-0.00133788,0.0985342,0.00434421,-0.00518455,0.030107,0.0993846,-0.0426049,0.0809487,-0.0788758,0.186477,-0.0994553,-0.0162531,-0.092892,0.0394578,-0.0555954,-0.0165412,-0.0445769,-0.0333523,-0.0239109,0.0351895,-0.0151804,-0.00846939,0.155182,0.17656,0.0466058,-0.114527,0.0367708,-0.0987552,0.0157385,0.0119264,-0.0358087,0.00951812,0.0485121,0.0231691,-0.00417267,-0.0368977,0.0250014,0.069354,-0.0580785,0.0311479,0.0217045,-0.0479464,0.0248698,0.0514264,0.074317,-0.0514804,-0.0191742,-0.00113027,0.0236127,0.118261,0.00496096,-0.045393,-0.0361069,-0.0613612,
Article9,0.113819,0.0100761,0.0493741,0.0299012,-0.0857279,0.0817176,-0.0082814,-0.0105764,-0.035083,-0.0441983,0.076045,-0.134021,0.11103,0.00727977,0.0413238,0.0369888,0.0617272,-0.00406695,-0.00341824,-0.0876683,-0.00651887,0.027923,0.00996103,-0.103553,-0.019351,-0.0298392,-0.0559552,0.0295849,0.0408441,-0.0878252,0.0537747,-0.028199,0.0479801,-0.12707,0.00338726,0.0996401,0.00280909,0.0561406,0.124428,-0.122693,0.0529165,-0.0127733,-0.142487,0.0043178,-0.0862469,-0.117874,-0.0143788,-0.0664457,-0.0939545,-0.0689308,0.0343805,-0.0615387,-0.129515,-0.0383168,0.0729809,-0.00895148,0.00332331,0.00263839,-0.0809266,-0.0563356,-0.0851443,0.00471657,-0.039602,-0.07782,0.0223177,-0.0583874,0.0161125,0.134418,-0.00222066,-0.0613055,-0.0389878,0.0965699,-0.0861403,0.00538811,0.0543649,0.0732403,0.051161,-0.0462237,0.0904416,0.11538,0.00519323,-0.0596989,-0.0210616,-0.0370583,0.0223157,-0.0899384,0.0203804,0.142026,-0.0018113,-0.027556,0.0540138,0.164943,0.0476942,-0.0130142,-0.0225894,0.101088,0.126626,0.102156,0.00075777,0.0662326,-0.0512766,-0.0148356,0.00241971,0.0553389,0.0341081,0.0105778,0.016779,0.0161122,-0.0840454,-0.0353181,-0.198716,0.0227387,0.0134815,-0.0263022,-0.0620918,-0.00696283,-0.222503,-0.00984704,0.0124572,-0.0236686,0.0345736,0.0171559,0.024583,0.0511516,-0.0636554,0.0879853,0.0515668,0.0507553,0.0672061,-0.0339779,-0.00588557,0.0422165,-0.0248207,-0.0129312,-0.0701019,-0.063027,-0.00316434,0.0615145,-0.037071,-0.0744135,-0.0348872,0.0470941,0.0290941,0.0264658,0.0967756,0.0109279,-0.0938777,0.0694866,0.0174861,0.0476773,-0.0916332,0.089562,0.012949,0.116903,0.0446433,0.243299,0.00527691,-0.0477551,0.0991321,0.0892548,-0.0100599,-0.09764,0.0147054,-0.0540249,0.0655045,-0.0161127,0.0153852,0.0510234,0.0481337,-0.0428351,0.0686745,-0.0480088,0.0516143,-0.145819,0.120557,-0.150145,0.0255425,0.0950121,-0.0718728,-0.0353258,0.0345722,-0.0876265,0.149308,0.037704,-0.0263116,-0.0509507,0.15224,-0.0582702,-0.0154456,-0.0352401,0.0302779,0.00959911,-0.0473045,0.080294,-0.0441228,0.137029,0.0573408,-0.0292427,-0.0408339,-0.0861954,
